"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
94954.9,0,0,0,-3.87135,0,0,0
94568.1,0,0,0,-4.16814,0.000190454,0.00238381,0
94568.1,0,0,0,-4.16814,0.000190454,0.00238381,0.01
94954.9,0,0,0,-3.87135,0,0,0.01
93932.1,0,0,0,-4.65616,0.000750181,0.00472703,0
93932.1,0,0,0,-4.65616,0.000750181,0.00472703,0.01
93581.3,0,0,0,-4.9254,0.00164226,0.00698453,0
93581.3,0,0,0,-4.9254,0.00164226,0.00698453,0.01
93486.8,0,0,0,-4.99793,0.00281613,0.00912993,0
93486.8,0,0,0,-4.99793,0.00281613,0.00912993,0.01
93562.4,0,0,0,-4.93985,0.00422108,0.0111539,0
93562.4,0,0,0,-4.93985,0.00422108,0.0111539,0.01
93730,0,0,0,-4.81125,0.00581337,0.013058,0
93730,0,0,0,-4.81125,0.00581337,0.013058,0.01
93940.6,0,0,0,-4.64965,0.00755791,0.0148495,0
93940.6,0,0,0,-4.64965,0.00755791,0.0148495,0.01
94166.9,0,0,0,-4.476,0.00942762,0.0165379,0
94166.9,0,0,0,-4.476,0.00942762,0.0165379,0.01
94393.8,0,0,0,-4.30189,0.0114017,0.0181327,0
94393.8,0,0,0,-4.30189,0.0114017,0.0181327,0.01
94612.5,0,0,0,-4.13411,0.0134641,0.019643,0
94612.5,0,0,0,-4.13411,0.0134641,0.019643,0.01
94818.9,0,0,0,-3.97569,0.0156024,0.0210769,0
94818.9,0,0,0,-3.97569,0.0156024,0.0210769,0.01
95011.9,0,0,0,-3.82762,0.0178082,0.0224423,0
95011.9,0,0,0,-3.82762,0.0178082,0.0224423,0.01
95190.8,0,0,0,-3.69031,0.0200729,0.023745,0
95190.8,0,0,0,-3.69031,0.0200729,0.023745,0.01
95357.2,0,0,0,-3.56266,0.0223914,0.0249909,0
95357.2,0,0,0,-3.56266,0.0223914,0.0249909,0.01
95512.4,0,0,0,-3.44353,0.0247588,0.0261848,0
95512.4,0,0,0,-3.44353,0.0247588,0.0261848,0.01
95656.7,0,0,0,-3.3328,0.0271713,0.0273308,0
95656.7,0,0,0,-3.3328,0.0271713,0.0273308,0.01
95791,0,0,0,-3.22978,0.0296261,0.0284329,0
95791,0,0,0,-3.22978,0.0296261,0.0284329,0.01
95916.3,0,0,0,-3.13363,0.0321194,0.0294937,0
95916.3,0,0,0,-3.13363,0.0321194,0.0294937,0.01
96033.4,0,0,0,-3.04374,0.0346508,0.0305167,0
96033.4,0,0,0,-3.04374,0.0346508,0.0305167,0.01
96143.4,0,0,0,-2.95933,0.037217,0.0315041,0
96143.4,0,0,0,-2.95933,0.037217,0.0315041,0.01
96246.8,0,0,0,-2.87998,0.0398177,0.0324583,0
96246.8,0,0,0,-2.87998,0.0398177,0.0324583,0.01
96344,0,0,0,-2.80544,0.0424513,0.0333814,0
96344,0,0,0,-2.80544,0.0424513,0.0333814,0.01
96435.6,0,0,0,-2.73511,0.0451162,0.0342749,0
96435.6,0,0,0,-2.73511,0.0451162,0.0342749,0.01
96522.2,0,0,0,-2.66865,0.0478119,0.0351406,0
96522.2,0,0,0,-2.66865,0.0478119,0.0351406,0.01
96604.6,0,0,0,-2.60547,0.0505378,0.0359799,0
96604.6,0,0,0,-2.60547,0.0505378,0.0359799,0.01
96682.7,0,0,0,-2.54553,0.0532931,0.0367942,0
96682.7,0,0,0,-2.54553,0.0532931,0.0367942,0.01
96756.9,0,0,0,-2.48856,0.0560773,0.0375847,0
96756.9,0,0,0,-2.48856,0.0560773,0.0375847,0.01
96827.7,0,0,0,-2.43423,0.0588896,0.0383524,0
96827.7,0,0,0,-2.43423,0.0588896,0.0383524,0.01
96895.4,0,0,0,-2.38232,0.0617297,0.0390983,0
96895.4,0,0,0,-2.38232,0.0617297,0.0390983,0.01
96960.1,0,0,0,-2.33263,0.0645976,0.0398233,0
