"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
98428.6,0,0,0,-1.20581,0.205218,0.0572581,0
98452.5,0,0,0,-1.18745,0.215001,0.0577142,0
98452.5,0,0,0,-1.18745,0.215001,0.0577142,0.01
98428.6,0,0,0,-1.20581,0.205218,0.0572581,0.01
98499.4,0,0,0,-1.1515,0.22474,0.0581071,0
98499.4,0,0,0,-1.1515,0.22474,0.0581071,0.01
98544,0,0,0,-1.11728,0.234432,0.0584408,0
98544,0,0,0,-1.11728,0.234432,0.0584408,0.01
98586.1,0,0,0,-1.08493,0.244078,0.0587193,0
98586.1,0,0,0,-1.08493,0.244078,0.0587193,0.01
98626.1,0,0,0,-1.05428,0.253678,0.058946,0
98626.1,0,0,0,-1.05428,0.253678,0.058946,0.01
98664.1,0,0,0,-1.02512,0.263231,0.059124,0
98664.1,0,0,0,-1.02512,0.263231,0.059124,0.01
98700.2,0,0,0,-0.997385,0.272738,0.0592562,0
98700.2,0,0,0,-0.997385,0.272738,0.0592562,0.01
98734.7,0,0,0,-0.970911,0.282198,0.0593452,0
98734.7,0,0,0,-0.970911,0.282198,0.0593452,0.01
98767.8,0,0,0,-0.945553,0.291611,0.0593934,0
98767.8,0,0,0,-0.945553,0.291611,0.0593934,0.01
98799.5,0,0,0,-0.921226,0.300978,0.0594029,0
98799.5,0,0,0,-0.921226,0.300978,0.0594029,0.01
98829.9,0,0,0,-0.897899,0.310299,0.0593757,0
98829.9,0,0,0,-0.897899,0.310299,0.0593757,0.01
98859.1,0,0,0,-0.875455,0.319574,0.0593138,0
98859.1,0,0,0,-0.875455,0.319574,0.0593138,0.01
98887.3,0,0,0,-0.853855,0.328802,0.0592188,0
98887.3,0,0,0,-0.853855,0.328802,0.0592188,0.01
98914.4,0,0,0,-0.833059,0.337984,0.0590924,0
98914.4,0,0,0,-0.833059,0.337984,0.0590924,0.01
98940.7,0,0,0,-0.81288,0.347121,0.058936,0
98940.7,0,0,0,-0.81288,0.347121,0.058936,0.01
98966.1,0,0,0,-0.79339,0.356211,0.058751,0
98966.1,0,0,0,-0.79339,0.356211,0.058751,0.01
98990.6,0,0,0,-0.774548,0.365257,0.0585388,0
98990.6,0,0,0,-0.774548,0.365257,0.0585388,0.01
99014.4,0,0,0,-0.756288,0.374256,0.0583004,0
99014.4,0,0,0,-0.756288,0.374256,0.0583004,0.01
99037.6,0,0,0,-0.738525,0.383211,0.0580372,0
99037.6,0,0,0,-0.738525,0.383211,0.0580372,0.01
99060.1,0,0,0,-0.721224,0.39212,0.0577501,0
99060.1,0,0,0,-0.721224,0.39212,0.0577501,0.01
99082,0,0,0,-0.70442,0.400984,0.0574401,0
99082,0,0,0,-0.70442,0.400984,0.0574401,0.01
99103.3,0,0,0,-0.688072,0.409804,0.0571083,0
99103.3,0,0,0,-0.688072,0.409804,0.0571083,0.01
99124.1,0,0,0,-0.672149,0.418579,0.0567555,0
99124.1,0,0,0,-0.672149,0.418579,0.0567555,0.01
99144.4,0,0,0,-0.656574,0.42731,0.0563825,0
99144.4,0,0,0,-0.656574,0.42731,0.0563825,0.01
99164.2,0,0,0,-0.641341,0.435997,0.0559902,0
99164.2,0,0,0,-0.641341,0.435997,0.0559902,0.01
99183.6,0,0,0,-0.626492,0.44464,0.0555794,0
