"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
95995.8,0,0,0,-3.07262,0,0,0
95995.8,0,0,0,-3.07262,0,0,0.01
96589.6,0,0,0,-2.61698,0.000199688,-0.00237921,0.01
96589.6,0,0,0,-2.61698,0.000199688,-0.00237921,0
97739.9,0,0,0,-1.73426,0.00078454,-0.00471233,0.01
97739.9,0,0,0,-1.73426,0.00078454,-0.00471233,0
98751,0,0,0,-0.958412,0.00171139,-0.00695155,0.01
98751,0,0,0,-0.958412,0.00171139,-0.00695155,0
99546.4,0,0,0,-0.348088,0.00292338,-0.00907129,0.01
99546.4,0,0,0,-0.348088,0.00292338,-0.00907129,0
100131,0,0,0,0.100559,0.0043656,-0.0110647,0.01
100131,0,0,0,0.100559,0.0043656,-0.0110647,0
100543,0,0,0,0.417024,0.00599145,-0.012935,0.01
100543,0,0,0,0.417024,0.00599145,-0.012935,0
100827,0,0,0,0.634579,0.00776549,-0.0146921,0.01
100827,0,0,0,0.634579,0.00776549,-0.0146921,0
101019,0,0,0,0.781916,0.00965995,-0.0163463,0.01
101019,0,0,0,0.781916,0.00965995,-0.0163463,0
101146,0,0,0,0.879759,0.0116549,-0.0179085,0.01
101146,0,0,0,0.879759,0.0116549,-0.0179085,0
101229,0,0,0,0.943065,0.0137346,-0.0193882,0.01
101229,0,0,0,0.943065,0.0137346,-0.0193882,0
101279,0,0,0,0.981816,0.0158873,-0.0207939,0.01
101279,0,0,0,0.981816,0.0158873,-0.0207939,0
101308,0,0,0,1.00331,0.0181043,-0.0221332,0.01
101308,0,0,0,1.00331,0.0181043,-0.0221332,0
101320,0,0,0,1.0129,0.0203783,-0.0234123,0.01
101320,0,0,0,1.0129,0.0203783,-0.0234123,0
101322,0,0,0,1.01405,0.0227036,-0.0246369,0.01
101322,0,0,0,1.01405,0.0227036,-0.0246369,0
101315,0,0,0,1.00906,0.0250761,-0.0258117,0.01
101315,0,0,0,1.00906,0.0250761,-0.0258117,0
101302,0,0,0,0.999471,0.0274921,-0.0269409,0.01
101302,0,0,0,0.999471,0.0274921,-0.0269409,0
101286,0,0,0,0.98681,0.0299483,-0.0280279,0.01
101286,0,0,0,0.98681,0.0299483,-0.0280279,0
101266,0,0,0,0.971847,0.0324431,-0.0290762,0.01
101266,0,0,0,0.971847,0.0324431,-0.0290762,0
101245,0,0,0,0.955349,0.0349739,-0.0300882,0.01
101245,0,0,0,0.955349,0.0349739,-0.0300882,0
101222,0,0,0,0.938083,0.0375399,-0.0310668,0.01
101222,0,0,0,0.938083,0.0375399,-0.0310668,0
101199,0,0,0,0.920051,0.0401383,-0.0320136,0.01
101199,0,0,0,0.920051,0.0401383,-0.0320136,0
101175,0,0,0,0.901634,0.042769,-0.0329309,0.01
101175,0,0,0,0.901634,0.042769,-0.0329309,0
101151,0,0,0,0.883218,0.0454309,-0.0338203,0.01
101151,0,0,0,0.883218,0.0454309,-0.0338203,0
101127,0,0,0,0.864802,0.0481231,-0.0346834,0.01
101127,0,0,0,0.864802,0.0481231,-0.0346834,0
101103,0,0,0,0.846385,0.0508448,-0.0355214,0.01
101103,0,0,0,0.846385,0.0508448,-0.0355214,0
101080,0,0,0,0.828353,0.0535955,-0.0363357,0.01
101080,0,0,0,0.828353,0.0535955,-0.0363357,0
101056,0,0,0,0.810704,0.0563746,-0.0371274,0.01
101056,0,0,0,0.810704,0.0563746,-0.0371274,0
101034,0,0,0,0.793055,0.0591819,-0.0378975,0.01
101034,0,0,0,0.793055,0.0591819,-0.0378975,0
101011,0,0,0,0.775789,0.062017,-0.0386469,0.01
101011,0,0,0,0.775789,0.062017,-0.0386469,0
100989,0,0,0,0.758908,0.0648789,-0.0393764,0.01
100989,0,0,0,0.758908,0.0648789,-0.0393764,0
100968,0,0,0,0.74241,0.067768,-0.0400869,0.01
100968,0,0,0,0.74241,0.067768,-0.0400869,0
100946,0,0,0,0.726295,0.0706843,-0.0407791,0.01
100946,0,0,0,0.726295,0.0706843,-0.0407791,0
100926,0,0,0,0.710565,0.0736269,-0.0414535,0.01
100926,0,0,0,0.710565,0.0736269,-0.0414535,0
100906,0,0,0,0.695218,0.0765961,-0.0421108,0.01
100906,0,0,0,0.695218,0.0765961,-0.0421108,0
100886,0,0,0,0.680254,0.079592,-0.0427517,0.01
100886,0,0,0,0.680254,0.079592,-0.0427517,0
100868,0,0,0,0.665675,0.0826137,-0.0433764,0.01
100868,0,0,0,0.665675,0.0826137,-0.0433764,0
100848,0,0,0,0.651095,0.0856622,-0.0439856,0.01
100848,0,0,0,0.651095,0.0856622,-0.0439856,0
100830,0,0,0,0.637283,0.0887363,-0.0445796,0.01
100830,0,0,0,0.637283,0.0887363,-0.0445796,0
100813,0,0,0,0.623854,0.091837,-0.0451589,0.01
