# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	1.901177e-03	2.286882e-04	7.906646e-04
119           	1.861982e-03	2.237884e-04	7.770073e-04
120           	1.834684e-03	2.189492e-04	7.626027e-04
121           	1.794888e-03	2.142014e-04	7.482529e-04
122           	1.753224e-03	2.094243e-04	7.342128e-04
123           	1.718212e-03	2.045488e-04	7.201573e-04
124           	1.680582e-03	1.996069e-04	7.067548e-04
125           	1.644008e-03	1.947529e-04	6.929822e-04
126           	1.609965e-03	1.901490e-04	6.792033e-04
127           	1.583242e-03	1.858545e-04	6.657703e-04
128           	1.551726e-03	1.818562e-04	6.520169e-04
129           	1.515673e-03	1.781014e-04	6.383905e-04
130           	1.474383e-03	1.744665e-04	6.253898e-04
131           	1.436972e-03	1.709258e-04	6.123701e-04
132           	1.400426e-03	1.674133e-04	5.994529e-04
133           	1.362183e-03	1.639590e-04	5.866102e-04
134           	1.325463e-03	1.605542e-04	5.743060e-04
135           	1.296358e-03	1.572194e-04	5.624838e-04
136           	1.268029e-03	1.539557e-04	5.511435e-04
137           	1.234004e-03	1.507260e-04	5.398022e-04
138           	1.197898e-03	1.475572e-04	5.283992e-04
139           	1.163076e-03	1.444377e-04	5.171566e-04
140           	1.129432e-03	1.413519e-04	5.061010e-04
141           	1.099159e-03	1.383204e-04	4.954641e-04
142           	1.071747e-03	1.353506e-04	4.854415e-04
143           	1.043771e-03	1.324438e-04	4.764434e-04
144           	1.020388e-03	1.296997e-04	4.677670e-04
145           	9.960637e-04	1.271230e-04	4.591418e-04
146           	9.695606e-04	1.246815e-04	4.504820e-04
147           	9.384063e-04	1.223012e-04	4.420304e-04
148           	9.074395e-04	1.199799e-04	4.339571e-04
149           	8.832659e-04	1.177360e-04	4.263482e-04
150           	8.612684e-04	1.156627e-04	4.191928e-04
151           	8.388198e-04	1.137085e-04	4.124546e-04
152           	8.164877e-04	1.118521e-04	4.060044e-04
153           	7.958763e-04	1.100648e-04	3.997267e-04
154           	7.754679e-04	1.083200e-04	3.934919e-04
155           	7.536921e-04	1.066530e-04	3.872803e-04
156           	7.284064e-04	1.050591e-04	3.815157e-04
157           	7.039125e-04	1.035071e-04	3.761487e-04
158           	6.826819e-04	1.020617e-04	3.712749e-04
159           	6.630226e-04	1.006951e-04	3.667830e-04
160           	6.423693e-04	9.938786e-05	3.628135e-04
161           	6.211062e-04	9.815983e-05	3.586797e-04
162           	6.015860e-04	9.700636e-05	3.546161e-04
163           	5.860035e-04	9.591936e-05	3.512940e-04
164           	5.714294e-04	9.488571e-05	3.479296e-04
165           	5.548751e-04	9.387073e-05	3.450413e-04
166           	5.369556e-04	9.290953e-05	3.426056e-04
167           	5.199247e-04	9.199264e-05	3.405403e-04
168           	5.030503e-04	9.112996e-05	3.388901e-04
169           	4.859998e-04	9.030046e-05	3.376080e-04
170           	4.737484e-04	8.952349e-05	3.364820e-04
171           	4.623023e-04	8.874806e-05	3.358051e-04
172           	4.512686e-04	8.796925e-05	3.355269e-04
173           	4.399272e-04	8.714376e-05	3.353292e-04
174           	4.279747e-04	8.627228e-05	3.352598e-04
175           	4.158915e-04	8.535665e-05	3.354245e-04
176           	4.043761e-04	8.439877e-05	3.356521e-04
177           	3.955705e-04	8.341627e-05	3.359998e-04
178           	3.879589e-04	8.241638e-05	3.362581e-04
179           	3.818005e-04	8.139717e-05	3.364380e-04
180           	3.749897e-04	8.032896e-05	3.363945e-04
181           	3.677228e-04	7.922425e-05	3.359998e-04
182           	3.610394e-04	7.810685e-05	3.355284e-04
183           	3.566026e-04	7.698734e-05	3.352325e-04
184           	3.527641e-04	7.585632e-05	3.347211e-04
185           	3.477128e-04	7.472402e-05	3.340800e-04
186           	3.422710e-04	7.357801e-05	3.329187e-04
187           	3.367931e-04	7.243236e-05	3.316744e-04
188           	3.309939e-04	7.129152e-05	3.301970e-04
189           	3.265674e-04	7.015416e-05	3.284879e-04
190           	3.236164e-04	6.903207e-05	3.265461e-04
191           	3.204317e-04	6.790626e-05	3.243262e-04
192           	3.164996e-04	6.679414e-05	3.221831e-04
193           	3.123976e-04	6.569390e-05	3.199288e-04
