# Force coefficient bins
# bins        : 31
# start       : 2.395440e-05
# delta       : 3.221309e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.223705e-02	6.445014e-02	9.666323e-02	1.288763e-01	1.610894e-01	1.933025e-01	2.255156e-01	2.577287e-01	2.899418e-01	3.221549e-01	3.543680e-01	3.865811e-01	4.187942e-01	4.510073e-01	4.832204e-01	5.154334e-01	5.476465e-01	5.798596e-01	6.120727e-01	6.442858e-01	6.764989e-01	7.087120e-01	7.409251e-01	7.731382e-01	8.053513e-01	8.375644e-01	8.697775e-01	9.019906e-01	9.342037e-01	9.664168e-01	9.986299e-01
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        	Cm(20)        	Cd(20)        	Cl(20)        	Cm(21)        	Cd(21)        	Cl(21)        	Cm(22)        	Cd(22)        	Cl(22)        	Cm(23)        	Cd(23)        	Cl(23)        	Cm(24)        	Cd(24)        	Cl(24)        	Cm(25)        	Cd(25)        	Cl(25)        	Cm(26)        	Cd(26)        	Cl(26)        	Cm(27)        	Cd(27)        	Cl(27)        	Cm(28)        	Cd(28)        	Cl(28)        	Cm(29)        	Cd(29)        	Cl(29)        	Cm(30)        	Cd(30)        	Cl(30)        
0             	-1.945336e-04	1.147680e+00	4.436768e-04	-4.714905e-04	2.041224e+00	2.341658e-04	-8.092287e-04	2.794197e+00	3.287937e-04	-2.744379e-04	3.504421e+00	1.499743e-03	-8.709040e-05	4.150642e+00	2.170404e-03	-1.318265e-04	4.779186e+00	2.565211e-03	-6.340536e-04	5.389063e+00	2.710297e-03	-6.844544e-05	6.043296e+00	2.973302e-03	2.637078e-04	6.605384e+00	3.087519e-03	2.202606e-04	7.235850e+00	3.122842e-03	-8.703854e-05	7.859832e+00	3.114593e-03	1.851378e-04	8.467158e+00	2.994659e-03	1.110259e-04	9.166133e+00	2.887113e-03	-1.810718e-04	9.753684e+00	2.857192e-03	-2.846071e-04	1.042795e+01	2.737522e-03	-2.045815e-04	1.101069e+01	2.563376e-03	-1.252867e-04	1.165349e+01	2.384292e-03	-8.698503e-05	1.228387e+01	2.224361e-03	-1.848408e-04	1.290641e+01	2.185113e-03	-1.782831e-04	1.351341e+01	2.073594e-03	-3.919487e-04	1.418387e+01	2.196756e-03	-4.848702e-04	1.485079e+01	2.232808e-03	-5.222226e-04	1.543321e+01	2.229188e-03	-5.666196e-04	1.606142e+01	2.237677e-03	-5.907121e-04	1.674345e+01	2.197851e-03	-6.032135e-04	1.734843e+01	1.910606e-03	-6.252741e-04	1.799817e+01	1.822058e-03	-6.480641e-04	1.864047e+01	1.812188e-03	-7.864327e-04	1.925940e+01	1.451409e-03	-7.503434e-04	1.992413e+01	1.521973e-03	-6.460427e-04	2.057169e+01	1.676599e-03
1             	5.938402e-04	2.365686e+01	-2.156129e-02	3.041265e-04	2.781293e+01	-1.564608e-02	-7.223708e-03	2.989682e+01	3.834020e-02	-1.473521e-02	3.118946e+01	1.065594e-01	-1.989323e-02	3.200140e+01	1.660516e-01	-2.300105e-02	3.257594e+01	2.167986e-01	-2.417771e-02	3.300040e+01	2.506900e-01	-2.405124e-02	3.339008e+01	2.759561e-01	-2.348990e-02	3.369369e+01	2.895111e-01	-2.291111e-02	3.402981e+01	2.988072e-01	-2.238656e-02	3.436227e+01	3.019329e-01	-2.247346e-02	3.469455e+01	2.999665e-01	-2.370369e-02	3.510338e+01	2.912023e-01	-2.567458e-02	3.547542e+01	2.808074e-01	-2.886563e-02	3.593582e+01	2.652980e-01	-3.241306e-02	3.637065e+01	2.500473e-01	-3.689948e-02	3.689684e+01	2.330813e-01	-4.128928e-02	3.746047e+01	2.189641e-01	-4.628543e-02	3.806222e+01	2.043123e-01	-4.988992e-02	3.869385e+01	1.943412e-01	-5.304038e-02	3.944163e+01	1.864963e-01	-5.636985e-02	4.022831e+01	1.789148e-01	-5.696416e-02	4.094950e+01	1.777062e-01	-5.645849e-02	4.177126e+01	1.787783e-01	-5.527429e-02	4.270347e+01	1.809916e-01	-5.552237e-02	4.355215e+01	1.804801e-01	-5.359012e-02	4.448442e+01	1.837133e-01	-5.019282e-02	4.539974e+01	1.889932e-01	-4.850737e-02	4.627945e+01	1.914090e-01	-4.236174e-02	4.718559e+01	2.002115e-01	-3.573209e-02	4.797737e+01	2.092679e-01
2             	-1.247544e-02	6.935918e+00	5.162983e-02	-1.966481e-02	9.085501e+00	9.108677e-02	-2.583094e-02	1.029586e+01	1.335854e-01	-3.040390e-02	1.107147e+01	1.739484e-01	-3.382235e-02	1.156717e+01	2.122969e-01	-3.593465e-02	1.191921e+01	2.465380e-01	-3.677738e-02	1.216936e+01	2.734349e-01	-3.685151e-02	1.239544e+01	2.939299e-01	-3.628110e-02	1.256789e+01	3.046519e-01	-3.567665e-02	1.276196e+01	3.125978e-01	-3.511370e-02	1.295837e+01	3.138320e-01	-3.476220e-02	1.315404e+01	3.168050e-01	-3.508973e-02	1.340424e+01	3.140663e-01	-3.549634e-02	1.363129e+01	3.116905e-01	-3.796591e-02	1.391663e+01	2.993778e-01	-4.066233e-02	1.419008e+01	2.873568e-01	-4.314036e-02	1.452120e+01	2.775133e-01	-4.249531e-02	1.487739e+01	2.797583e-01	-4.320092e-02	1.525881e+01	2.776443e-01	-4.539096e-02	1.565653e+01	2.714946e-01	-4.743753e-02	1.612645e+01	2.661849e-01	-5.028612e-02	1.661913e+01	2.596664e-01	-5.003409e-02	1.706680e+01	2.601977e-01	-4.671996e-02	1.757118e+01	2.668147e-01	-4.482546e-02	1.814145e+01	2.703295e-01	-4.631304e-02	1.865838e+01	2.676773e-01	-4.717856e-02	1.921896e+01	2.662486e-01	-4.558183e-02	1.976266e+01	2.687011e-01	-4.786034e-02	2.027913e+01	2.651703e-01	-4.625043e-02	2.080317e+01	2.674871e-01	-4.500014e-02	2.125024e+01	2.692043e-01
3             	-5.898230e-03	-9.729380e+00	3.624122e-02	-1.344136e-02	-1.082531e+01	7.332559e-02	-1.426945e-02	-1.119183e+01	7.553168e-02	-1.295716e-02	-1.132187e+01	6.230403e-02	-1.187421e-02	-1.132556e+01	4.852635e-02	-1.117822e-02	-1.126246e+01	3.666660e-02	-1.083725e-02	-1.117431e+01	2.824140e-02	-1.080532e-02	-1.106293e+01	2.212191e-02	-1.071672e-02	-1.096200e+01	1.780371e-02	-1.069008e-02	-1.083897e+01	1.522828e-02	-1.047474e-02	-1.071256e+01	1.308434e-02	-1.081088e-02	-1.059372e+01	1.069787e-02	-1.076724e-02	-1.045491e+01	1.077998e-02	-1.046148e-02	-1.034683e+01	1.289356e-02	-9.492951e-03	-1.022999e+01	1.695061e-02	-8.018632e-03	-1.013440e+01	2.243140e-02	-5.914534e-03	-1.004045e+01	2.965972e-02	-3.905231e-03	-9.959479e+00	3.669967e-02	-1.814610e-03	-9.890205e+00	4.297466e-02	3.168029e-04	-9.838091e+00	4.866530e-02	2.165293e-03	-9.795291e+00	5.309928e-02	3.068923e-03	-9.766090e+00	5.517842e-02	3.971151e-03	-9.754990e+00	5.716302e-02	5.182105e-03	-9.761792e+00	5.970755e-02	5.455588e-03	-9.780486e+00	6.025317e-02	4.018119e-03	-9.804579e+00	5.766778e-02	2.351987e-03	-9.844887e+00	5.485665e-02	8.643033e-04	-9.891483e+00	5.250182e-02	-2.107747e-03	-9.941203e+00	4.796738e-02	-5.134705e-03	-9.993131e+00	4.364434e-02	-8.742672e-03	-1.003763e+01	3.872632e-02
4             	-2.940616e-03	-1.349577e+01	2.179832e-02	-2.457293e-03	-1.560729e+01	1.599350e-02	1.089938e-03	-1.658025e+01	-1.150553e-02	5.046801e-03	-1.708312e+01	-4.815313e-02	8.131766e-03	-1.730353e+01	-8.485193e-02	1.018730e-02	-1.737137e+01	-1.188550e-01	1.114631e-02	-1.735752e+01	-1.458908e-01	1.129304e-02	-1.729899e+01	-1.683337e-01	1.111760e-02	-1.723078e+01	-1.809877e-01	1.064517e-02	-1.714045e+01	-1.921085e-01	1.051444e-02	-1.704711e+01	-1.977099e-01	1.011229e-02	-1.696447e+01	-2.007526e-01	1.040091e-02	-1.687920e+01	-1.991893e-01	1.089657e-02	-1.682688e+01	-1.959575e-01	1.338883e-02	-1.678832e+01	-1.846749e-01	1.617130e-02	-1.677454e+01	-1.735367e-01	1.928463e-02	-1.678772e+01	-1.624127e-01	2.038355e-02	-1.682929e+01	-1.581257e-01	2.231656e-02	-1.689726e+01	-1.522355e-01	2.546947e-02	-1.699462e+01	-1.436289e-01	2.897188e-02	-1.713386e+01	-1.349862e-01	3.240930e-02	-1.729985e+01	-1.271130e-01	3.303746e-02	-1.746954e+01	-1.256077e-01	3.143697e-02	-1.768381e+01	-1.285320e-01	3.079716e-02	-1.793873e+01	-1.296537e-01	3.157594e-02	-1.817707e+01	-1.283725e-01	3.202666e-02	-1.845023e+01	-1.277058e-01	3.050901e-02	-1.872059e+01	-1.300364e-01	3.130056e-02	-1.897943e+01	-1.288744e-01	2.871903e-02	-1.923749e+01	-1.325663e-01	2.554360e-02	-1.944988e+01	-1.368971e-01
5             	2.148974e-03	-5.173774e+00	-9.736812e-03	9.792823e-03	-5.806094e+00	-5.070640e-02	1.432424e-02	-6.139155e+00	-8.084152e-02	1.686460e-02	-6.308039e+00	-1.030891e-01	1.858217e-02	-6.369789e+00	-1.231325e-01	1.977700e-02	-6.367278e+00	-1.424380e-01	2.038135e-02	-6.332231e+00	-1.587749e-01	2.050098e-02	-6.274531e+00	-1.740630e-01	2.034886e-02	-6.216986e+00	-1.841634e-01	1.997971e-02	-6.144659e+00	-1.929099e-01	1.985022e-02	-6.070810e+00	-1.977556e-01	1.925999e-02	-6.003964e+00	-2.024719e-01	1.904622e-02	-5.931093e+00	-2.042858e-01	1.874844e-02	-5.879561e+00	-2.055992e-01	1.948207e-02	-5.830077e+00	-2.026147e-01	2.018484e-02	-5.794814e+00	-1.999476e-01	2.071826e-02	-5.767906e+00	-1.982029e-01	1.944436e-02	-5.753119e+00	-2.017374e-01	1.925786e-02	-5.748656e+00	-2.021662e-01	1.977470e-02	-5.757270e+00	-2.006782e-01	2.095889e-02	-5.778601e+00	-1.977851e-01	2.262487e-02	-5.809751e+00	-1.939768e-01	2.212859e-02	-5.846255e+00	-1.948680e-01	1.994312e-02	-5.896871e+00	-1.989866e-01	1.944140e-02	-5.957672e+00	-1.998821e-01	2.151857e-02	-6.013387e+00	-1.963089e-01	2.337691e-02	-6.077548e+00	-1.932900e-01	2.355665e-02	-6.137959e+00	-1.929324e-01	2.702000e-02	-6.190835e+00	-1.877418e-01	2.751820e-02	-6.235348e+00	-1.870298e-01	2.782624e-02	-6.260798e+00	-1.866096e-01
6             	-1.140554e-02	8.263094e+00	4.179394e-02	-6.743583e-03	9.339955e+00	1.871334e-02	-5.811584e-03	9.865697e+00	1.526158e-02	-6.796576e-03	1.017545e+01	2.478085e-02	-7.747013e-03	1.035902e+01	3.565342e-02	-8.277593e-03	1.048349e+01	4.472394e-02	-8.421431e-03	1.056688e+01	5.043223e-02	-8.416985e-03	1.064041e+01	5.412285e-02	-8.278731e-03	1.069546e+01	5.626994e-02	-8.198795e-03	1.075643e+01	5.638182e-02	-8.033496e-03	1.081738e+01	5.561099e-02	-8.142636e-03	1.087677e+01	5.476481e-02	-8.457145e-03	1.095195e+01	5.233168e-02	-9.060849e-03	1.101981e+01	4.897301e-02	-1.017823e-02	1.110592e+01	4.325680e-02	-1.150612e-02	1.119058e+01	3.750279e-02	-1.312918e-02	1.129524e+01	3.134087e-02	-1.487654e-02	1.140994e+01	2.595348e-02	-1.628875e-02	1.153603e+01	2.179031e-02	-1.803594e-02	1.166990e+01	1.704651e-02	-1.938078e-02	1.183163e+01	1.359251e-02	-2.069129e-02	1.200471e+01	1.058063e-02	-2.165304e-02	1.216486e+01	8.599245e-03	-2.220765e-02	1.234994e+01	7.586776e-03	-2.200021e-02	1.256417e+01	7.965898e-03	-2.096339e-02	1.276303e+01	9.753493e-03	-1.991003e-02	1.298386e+01	1.148436e-02	-1.869037e-02	1.320346e+01	1.342590e-02	-1.653057e-02	1.341870e+01	1.664759e-02	-1.436624e-02	1.364466e+01	1.974475e-02	-1.194997e-02	1.384704e+01	2.304106e-02
7             	-3.594164e-02	1.250416e+01	1.421549e-01	-3.824374e-02	1.376419e+01	1.555939e-01	-4.071201e-02	1.443446e+01	1.738901e-01	-4.305143e-02	1.483008e+01	1.946525e-01	-4.473478e-02	1.505946e+01	2.137507e-01	-4.574778e-02	1.520544e+01	2.306062e-01	-4.612074e-02	1.529505e+01	2.427889e-01	-4.616716e-02	1.536695e+01	2.531035e-01	-4.598871e-02	1.541701e+01	2.577328e-01	-4.571541e-02	1.547053e+01	2.616291e-01	-4.542723e-02	1.552434e+01	2.628327e-01	-4.537451e-02	1.557923e+01	2.632502e-01	-4.564702e-02	1.565252e+01	2.612084e-01	-4.605848e-02	1.572307e+01	2.587489e-01	-4.734945e-02	1.581666e+01	2.522809e-01	-4.872682e-02	1.591178e+01	2.462740e-01	-5.016756e-02	1.603329e+01	2.407835e-01	-5.069624e-02	1.616923e+01	2.391640e-01	-5.158801e-02	1.632059e+01	2.364872e-01	-5.301846e-02	1.648350e+01	2.325084e-01	-5.448730e-02	1.668136e+01	2.287082e-01	-5.643545e-02	1.689337e+01	2.242273e-01	-5.674368e-02	1.708958e+01	2.235612e-01	-5.568019e-02	1.731658e+01	2.256753e-01	-5.510288e-02	1.757768e+01	2.267318e-01	-5.583114e-02	1.781760e+01	2.254502e-01	-5.636216e-02	1.808150e+01	2.245833e-01	-5.570582e-02	1.833949e+01	2.255810e-01	-5.656498e-02	1.858713e+01	2.242568e-01	-5.548914e-02	1.883954e+01	2.257987e-01	-5.411697e-02	1.905490e+01	2.276713e-01
8             	5.997451e-02	3.837233e+00	-2.613416e-01	5.286655e-02	4.060598e+00	-2.241144e-01	4.848686e-02	4.210543e+00	-1.965551e-01	4.634825e-02	4.309109e+00	-1.801208e-01	4.525208e-02	4.381813e+00	-1.692835e-01	4.468268e-02	4.443388e+00	-1.608050e-01	4.447627e-02	4.492703e+00	-1.547066e-01	4.444325e-02	4.542223e+00	-1.491719e-01	4.457035e-02	4.582981e+00	-1.458850e-01	4.475258e-02	4.631508e+00	-1.434930e-01	4.503539e-02	4.682350e+00	-1.421295e-01	4.520805e-02	4.733602e+00	-1.407274e-01	4.533384e-02	4.797597e+00	-1.400841e-01	4.554659e-02	4.854075e+00	-1.390478e-01	4.569422e-02	4.922331e+00	-1.387096e-01	4.594322e-02	4.985953e+00	-1.380016e-01	4.642687e-02	5.060551e+00	-1.364243e-01	4.750029e-02	5.137271e+00	-1.328095e-01	4.822074e-02	5.216983e+00	-1.307033e-01	4.892311e-02	5.296604e+00	-1.289155e-01	4.941724e-02	5.387242e+00	-1.278138e-01	4.957289e-02	5.478770e+00	-1.274974e-01	5.044531e-02	5.558297e+00	-1.256381e-01	5.189365e-02	5.645162e+00	-1.227378e-01	5.255201e-02	5.740957e+00	-1.215093e-01	5.168657e-02	5.825715e+00	-1.230331e-01	5.096957e-02	5.913744e+00	-1.242125e-01	5.081820e-02	5.995285e+00	-1.244893e-01	4.904486e-02	6.069874e+00	-1.271821e-01	4.851099e-02	6.141397e+00	-1.279432e-01	4.792256e-02	6.194395e+00	-1.287443e-01
9             	1.121222e-01	-5.997573e+00	-4.824564e-01	1.088964e-01	-6.673697e+00	-4.664870e-01	1.065797e-01	-7.021084e+00	-4.541369e-01	1.061926e-01	-7.208949e+00	-4.537138e-01	1.063644e-01	-7.290178e+00	-4.578998e-01	1.066265e-01	-7.312947e+00	-4.634705e-01	1.067685e-01	-7.304162e+00	-4.682808e-01	1.067909e-01	-7.276594e+00	-4.729282e-01	1.067256e-01	-7.244182e+00	-4.765967e-01	1.066466e-01	-7.199476e+00	-4.790082e-01	1.067211e-01	-7.150736e+00	-4.799121e-01	1.066431e-01	-7.103097e+00	-4.806042e-01	1.068174e-01	-7.049259e+00	-4.796675e-01	1.071790e-01	-7.008306e+00	-4.776740e-01	1.082339e-01	-6.967378e+00	-4.730581e-01	1.094780e-01	-6.937055e+00	-4.681736e-01	1.109941e-01	-6.911267e+00	-4.627694e-01	1.122286e-01	-6.895074e+00	-4.585113e-01	1.136374e-01	-6.887546e+00	-4.543246e-01	1.154677e-01	-6.890686e+00	-4.494206e-01	1.172591e-01	-6.905110e+00	-4.450396e-01	1.192273e-01	-6.930098e+00	-4.405836e-01	1.204106e-01	-6.961836e+00	-4.380059e-01	1.210129e-01	-7.007005e+00	-4.367200e-01	1.214833e-01	-7.065127e+00	-4.358217e-01	1.218568e-01	-7.122917e+00	-4.351886e-01	1.221880e-01	-7.193748e+00	-4.346503e-01	1.220006e-01	-7.268388e+00	-4.349443e-01	1.218335e-01	-7.343523e+00	-4.352105e-01	1.210688e-01	-7.423822e+00	-4.363035e-01	1.198960e-01	-7.500154e+00	-4.379008e-01
