# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.105270e+01
# lRef        : 1.000000e+00
# Aref        : 1.190359e-03
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-6.460427e-04	2.057169e+01	1.676599e-03	1.922570e-04	1.484342e-03
1             	-3.573209e-02	4.797737e+01	2.092679e-01	6.890188e-02	1.403661e-01
2             	-4.500014e-02	2.125024e+01	2.692043e-01	8.960199e-02	1.796023e-01
3             	-8.742672e-03	-1.003763e+01	3.872632e-02	1.062049e-02	2.810583e-02
4             	2.554360e-02	-1.944988e+01	-1.368971e-01	-4.290497e-02	-9.399217e-02
5             	2.782624e-02	-6.260798e+00	-1.866096e-01	-6.547857e-02	-1.211311e-01
6             	-1.194997e-02	1.384704e+01	2.304106e-02	-4.294429e-04	2.347050e-02
7             	-5.411697e-02	1.905490e+01	2.276713e-01	5.971867e-02	1.679526e-01
8             	4.792256e-02	6.194395e+00	-1.287443e-01	-1.644961e-02	-1.122947e-01
9             	1.198960e-01	-7.500154e+00	-4.379008e-01	-9.905435e-02	-3.388464e-01
10            	7.294788e-02	-1.050006e+01	-2.860403e-01	-7.007225e-02	-2.159680e-01
11            	-4.729112e-02	-2.000989e+00	9.674881e-02	1.083289e-03	9.566552e-02
12            	-9.906052e-02	6.779448e+00	2.887771e-01	4.532805e-02	2.434491e-01
13            	-1.554332e-01	8.810365e+00	5.912551e-01	1.401944e-01	4.510607e-01
14            	-1.008686e-01	3.525877e+00	5.664702e-01	1.823665e-01	3.841037e-01
15            	9.006669e-03	-2.213268e+00	1.770070e-01	9.751015e-02	7.949681e-02
16            	1.050707e-01	-3.512289e+00	-3.590948e-01	-7.447674e-02	-2.846181e-01
17            	9.416489e-02	-2.512613e-01	-4.888753e-01	-1.502727e-01	-3.386025e-01
18            	-2.105605e-02	3.561545e+00	-4.753401e-02	-4.482306e-02	-2.710955e-03
19            	-7.446019e-02	3.826798e+00	2.907948e-01	7.093722e-02	2.198576e-01
20            	-4.695214e-02	1.122023e+00	3.308724e-01	1.184841e-01	2.123883e-01
21            	2.221847e-02	-1.111758e+00	6.604867e-02	5.524280e-02	1.080587e-02
22            	4.916247e-02	-9.149681e-01	-1.735325e-01	-3.760379e-02	-1.359287e-01
23            	9.811285e-03	7.620945e-01	-1.328543e-01	-5.661587e-02	-7.623844e-02
24            	-3.893220e-02	1.851780e+00	8.908498e-02	5.610287e-03	8.347469e-02
25            	-4.656813e-02	1.482715e+00	2.341785e-01	7.052111e-02	1.636574e-01
26            	-1.322241e-02	3.722219e-01	1.767131e-01	7.513416e-02	1.015790e-01
27            	1.577692e-02	-2.217861e-01	1.799772e-02	2.477578e-02	-6.778058e-03
28            	1.217556e-02	1.262770e-01	-6.741375e-02	-2.153131e-02	-4.588244e-02
29            	-9.490515e-03	7.736333e-01	-3.021453e-02	-2.459778e-02	-5.616749e-03
30            	-2.188507e-02	9.904273e-01	4.650140e-02	1.365627e-03	4.513578e-02
31            	-1.364036e-02	6.862506e-01	8.259975e-02	2.765952e-02	5.494023e-02
32            	2.097746e-03	2.919429e-01	5.084717e-02	2.752133e-02	2.332584e-02
33            	6.735614e-03	2.178370e-01	-2.144247e-03	5.663490e-03	-7.807738e-03
34            	-1.074075e-04	4.274140e-01	-1.940939e-02	-9.812100e-03	-9.597285e-03
35            	-8.129247e-03	6.185756e-01	1.900011e-03	-7.179241e-03	9.079252e-03
36            	-8.808381e-03	5.965120e-01	2.823546e-02	5.309346e-03	2.292611e-02
37            	-3.124525e-03	4.388047e-01	2.889502e-02	1.132299e-02	1.757204e-02
38            	2.506664e-03	3.304908e-01	1.283139e-02	8.922358e-03	3.909029e-03
39            	2.141994e-03	3.585546e-01	-2.499300e-03	8.923441e-04	-3.391644e-03
40            	-2.747607e-03	4.500910e-01	-4.723346e-03	-5.109280e-03	3.859336e-04
41            	-5.262959e-03	4.857434e-01	6.672286e-03	-1.926816e-03	8.599102e-03
