"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
99513,0,0,0,-0.37393,0.20522,0.057258,0
99520,0,0,0,-0.36846,0.22557,0.058138,0
99520,0,0,0,-0.36846,0.22557,0.058138,0.01
99513,0,0,0,-0.37393,0.20522,0.057258,0.01
99534,0,0,0,-0.35733,0.24571,0.058761,0
99534,0,0,0,-0.35733,0.24571,0.058761,0.01
99549,0,0,0,-0.34609,0.26566,0.059162,0
99549,0,0,0,-0.34609,0.26566,0.059162,0.01
99563,0,0,0,-0.33519,0.2854,0.059366,0
99563,0,0,0,-0.33519,0.2854,0.059366,0.01
99577,0,0,0,-0.32468,0.30493,0.059396,0
99577,0,0,0,-0.32468,0.30493,0.059396,0.01
99590,0,0,0,-0.3144,0.32427,0.05927,0
99590,0,0,0,-0.3144,0.32427,0.05927,0.01
99603,0,0,0,-0.30431,0.3434,0.059003,0
99603,0,0,0,-0.30431,0.3434,0.059003,0.01
99616,0,0,0,-0.29441,0.36233,0.05861,0
99616,0,0,0,-0.29441,0.36233,0.05861,0.01
99629,0,0,0,-0.28467,0.38106,0.058103,0
99629,0,0,0,-0.28467,0.38106,0.058103,0.01
99642,0,0,0,-0.27508,0.3996,0.05749,0
99642,0,0,0,-0.27508,0.3996,0.05749,0.01
99654,0,0,0,-0.26556,0.41793,0.056782,0
99654,0,0,0,-0.26556,0.41793,0.056782,0.01
99666,0,0,0,-0.25612,0.43608,0.055987,0
99666,0,0,0,-0.25612,0.43608,0.055987,0.01
99678,0,0,0,-0.2468,0.45403,0.05511,0
99678,0,0,0,-0.2468,0.45403,0.05511,0.01
99690,0,0,0,-0.23751,0.47179,0.05416,0
99690,0,0,0,-0.23751,0.47179,0.05416,0.01
99703,0,0,0,-0.22827,0.48936,0.053142,0
99703,0,0,0,-0.22827,0.48936,0.053142,0.01
99715,0,0,0,-0.21906,0.50675,0.052062,0
99715,0,0,0,-0.21906,0.50675,0.052062,0.01
99726,0,0,0,-0.20989,0.52395,0.050924,0
99726,0,0,0,-0.20989,0.52395,0.050924,0.01
99738,0,0,0,-0.20072,0.54097,0.049733,0
99738,0,0,0,-0.20072,0.54097,0.049733,0.01
99750,0,0,0,-0.19155,0.55781,0.048493,0
99750,0,0,0,-0.19155,0.55781,0.048493,0.01
99762,0,0,0,-0.18242,0.57447,0.047208,0
99762,0,0,0,-0.18242,0.57447,0.047208,0.01
99774,0,0,0,-0.17325,0.59095,0.045882,0
99774,0,0,0,-0.17325,0.59095,0.045882,0.01
99786,0,0,0,-0.16408,0.60725,0.044518,0
99786,0,0,0,-0.16408,0.60725,0.044518,0.01
99798,0,0,0,-0.15491,0.62339,0.04312,0
99798,0,0,0,-0.15491,0.62339,0.04312,0.01
99810,0,0,0,-0.14566,0.63935,0.04169,0
99810,0,0,0,-0.14566,0.63935,0.04169,0.01
99822,0,0,0,-0.13638,0.65514,0.040231,0
99822,0,0,0,-0.13638,0.65514,0.040231,0.01
99834,0,0,0,-0.12706,0.67077,0.038746,0
99834,0,0,0,-0.12706,0.67077,0.038746,0.01
99847,0,0,0,-0.11766,0.68623,0.037238,0
99847,0,0,0,-0.11766,0.68623,0.037238,0.01
99859,0,0,0,-0.10822,0.70152,0.035708,0
99859,0,0,0,-0.10822,0.70152,0.035708,0.01
99871,0,0,0,-0.098742,0.71666,0.03416,0
99871,0,0,0,-0.098742,0.71666,0.03416,0.01
99884,0,0,0,-0.08915,0.73163,0.032595,0
99884,0,0,0,-0.08915,0.73163,0.032595,0.01
99896,0,0,0,-0.079439,0.74644,0.031015,0
99896,0,0,0,-0.079439,0.74644,0.031015,0.01
99909,0,0,0,-0.069619,0.7611,0.029421,0
99909,0,0,0,-0.069619,0.7611,0.029421,0.01
99922,0,0,0,-0.059643,0.7756,0.027817,0
99922,0,0,0,-0.059643,0.7756,0.027817,0.01
99935,0,0,0,-0.049512,0.78995,0.026202,0
99935,0,0,0,-0.049512,0.78995,0.026202,0.01
99949,0,0,0,-0.039195,0.80415,0.02458,0
99949,0,0,0,-0.039195,0.80415,0.02458,0.01
99963,0,0,0,-0.028644,0.81819,0.02295,0
99963,0,0,0,-0.028644,0.81819,0.02295,0.01
99977,0,0,0,-0.017859,0.83209,0.021315,0
99977,0,0,0,-0.017859,0.83209,0.021315,0.01
99991,0,0,0,-0.0067742,0.84584,0.019676,0
99991,0,0,0,-0.0067742,0.84584,0.019676,0.01
1.0001e+05,0,0,0,0.0048139,0.85945,0.018033,0
1.0001e+05,0,0,0,0.0048139,0.85945,0.018033,0.01
1.0002e+05,0,0,0,0.0169,0.87292,0.016389,0
1.0002e+05,0,0,0,0.0169,0.87292,0.016389,0.01
1.0004e+05,0,0,0,0.029177,0.88624,0.014743,0
1.0004e+05,0,0,0,0.029177,0.88624,0.014743,0.01
1.0006e+05,0,0,0,0.042228,0.89942,0.013097,0
1.0006e+05,0,0,0,0.042228,0.89942,0.013097,0.01
1.0007e+05,0,0,0,0.05604,0.91246,0.011451,0
1.0007e+05,0,0,0,0.05604,0.91246,0.011451,0.01
1.0009e+05,0,0,0,0.07062,0.92537,0.0098072,0
1.0009e+05,0,0,0,0.07062,0.92537,0.0098072,0.01
1.0011e+05,0,0,0,0.086351,0.93814,0.0081648,0
1.0011e+05,0,0,0,0.086351,0.93814,0.0081648,0.01
1.0013e+05,0,0,0,0.10324,0.95077,0.0065249,0
1.0013e+05,0,0,0,0.10324,0.95077,0.0065249,0.01
1.0016e+05,0,0,0,0.12204,0.96328,0.0048881,0
1.0016e+05,0,0,0,0.12204,0.96328,0.0048881,0.01
1.0019e+05,0,0,0,0.14315,0.97565,0.0032547,0
1.0019e+05,0,0,0,0.14315,0.97565,0.0032547,0.01
1.0022e+05,0,0,0,0.16578,0.98789,0.0016252,0
1.0022e+05,0,0,0,0.16578,0.98789,0.0016252,0.01
1.0023e+05,0,0,0,0.17726,1,0,0
1.0023e+05,0,0,0,0.17726,1,0,0.01
