"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
1.0126e+05,0,0,0,0.96993,0,0,0
1.0126e+05,0,0,0,0.96993,0,0,0.01
1.011e+05,0,0,0,0.842,0.00084624,-0.0048937,0.01
1.011e+05,0,0,0,0.842,0.00084624,-0.0048937,0
1.0073e+05,0,0,0,0.56388,0.0031389,-0.0093971,0.01
1.0073e+05,0,0,0,0.56388,0.0031389,-0.0093971,0
1.0039e+05,0,0,0,0.30061,0.0064046,-0.013366,0.01
1.0039e+05,0,0,0,0.30061,0.0064046,-0.013366,0
1.0014e+05,0,0,0,0.10986,0.01029,-0.016857,0.01
1.0014e+05,0,0,0,0.10986,0.01029,-0.016857,0
99972,0,0,0,-0.021432,0.014593,-0.019963,0.01
99972,0,0,0,-0.021432,0.014593,-0.019963,0
99851,0,0,0,-0.11404,0.0192,-0.022761,0.01
99851,0,0,0,-0.11404,0.0192,-0.022761,0
99763,0,0,0,-0.18216,0.024046,-0.02531,0.01
99763,0,0,0,-0.18216,0.024046,-0.02531,0
99695,0,0,0,-0.23392,0.029088,-0.027654,0.01
99695,0,0,0,-0.23392,0.029088,-0.027654,0
99643,0,0,0,-0.27387,0.034301,-0.029824,0.01
99643,0,0,0,-0.27387,0.034301,-0.029824,0
99603,0,0,0,-0.30496,0.039669,-0.031846,0.01
99603,0,0,0,-0.30496,0.039669,-0.031846,0
99571,0,0,0,-0.32936,0.045178,-0.033737,0.01
99571,0,0,0,-0.32936,0.045178,-0.033737,0
99546,0,0,0,-0.34871,0.050821,-0.035514,0.01
99546,0,0,0,-0.34871,0.050821,-0.035514,0
99526,0,0,0,-0.36409,0.056591,-0.037188,0.01
99526,0,0,0,-0.36409,0.056591,-0.037188,0
99510,0,0,0,-0.37634,0.062485,-0.038768,0.01
99510,0,0,0,-0.37634,0.062485,-0.038768,0
99497,0,0,0,-0.38601,0.068499,-0.040263,0.01
99497,0,0,0,-0.38601,0.068499,-0.040263,0
99487,0,0,0,-0.39364,0.074632,-0.041679,0.01
99487,0,0,0,-0.39364,0.074632,-0.041679,0
99479,0,0,0,-0.39959,0.080881,-0.043021,0.01
99479,0,0,0,-0.39959,0.080881,-0.043021,0
99473,0,0,0,-0.40408,0.087247,-0.044294,0.01
99473,0,0,0,-0.40408,0.087247,-0.044294,0
99469,0,0,0,-0.40738,0.093729,-0.045503,0.01
99469,0,0,0,-0.40738,0.093729,-0.045503,0
99466,0,0,0,-0.40964,0.10033,-0.04665,0.01
99466,0,0,0,-0.40964,0.10033,-0.04665,0
99464,0,0,0,-0.41106,0.10704,-0.047738,0.01
99464,0,0,0,-0.41106,0.10704,-0.047738,0
99463,0,0,0,-0.41176,0.11387,-0.048771,0.01
99463,0,0,0,-0.41176,0.11387,-0.048771,0
99463,0,0,0,-0.41172,0.12081,-0.049749,0.01
99463,0,0,0,-0.41172,0.12081,-0.049749,0
99464,0,0,0,-0.41103,0.12788,-0.050675,0.01
99464,0,0,0,-0.41103,0.12788,-0.050675,0
99466,0,0,0,-0.40988,0.13506,-0.05155,0.01
99466,0,0,0,-0.40988,0.13506,-0.05155,0
99468,0,0,0,-0.40835,0.14236,-0.052377,0.01
99468,0,0,0,-0.40835,0.14236,-0.052377,0
99470,0,0,0,-0.40635,0.14978,-0.053155,0.01
99470,0,0,0,-0.40635,0.14978,-0.053155,0
99474,0,0,0,-0.40394,0.15732,-0.053886,0.01
99474,0,0,0,-0.40394,0.15732,-0.053886,0
99477,0,0,0,-0.40117,0.16499,-0.054572,0.01
99477,0,0,0,-0.40117,0.16499,-0.054572,0
99481,0,0,0,-0.39815,0.17278,-0.055212,0.01
99481,0,0,0,-0.39815,0.17278,-0.055212,0
99485,0,0,0,-0.39488,0.1807,-0.055807,0.01
99485,0,0,0,-0.39488,0.1807,-0.055807,0
99490,0,0,0,-0.39135,0.18874,-0.056358,0.01
99490,0,0,0,-0.39135,0.18874,-0.056358,0
99495,0,0,0,-0.38759,0.19691,-0.056866,0.01
99495,0,0,0,-0.38759,0.19691,-0.056866,0
99497,0,0,0,-0.38567,0.20522,-0.05733,0.01
99497,0,0,0,-0.38567,0.20522,-0.05733,0
