"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
1.0127e+05,0,0,0,0.9776,0,0,0
1.0112e+05,0,0,0,0.85657,0.00080944,0.0049097,0
1.0112e+05,0,0,0,0.85657,0.00080944,0.0049097,0.01
1.0127e+05,0,0,0,0.9776,0,0,0.01
1.0076e+05,0,0,0,0.58574,0.0030257,0.0094605,0
1.0076e+05,0,0,0,0.58574,0.0030257,0.0094605,0.01
1.0041e+05,0,0,0,0.31789,0.006219,0.013498,0
1.0041e+05,0,0,0,0.31789,0.006219,0.013498,0.01
1.0015e+05,0,0,0,0.11754,0.010051,0.017059,0
1.0015e+05,0,0,0,0.11754,0.010051,0.017059,0.01
99971,0,0,0,-0.022115,0.014316,0.020229,0
99971,0,0,0,-0.022115,0.014316,0.020229,0.01
99842,0,0,0,-0.12117,0.0189,0.023082,0
99842,0,0,0,-0.12117,0.0189,0.023082,0.01
99747,0,0,0,-0.19382,0.02373,0.025675,0
99747,0,0,0,-0.19382,0.02373,0.025675,0.01
99676,0,0,0,-0.24846,0.028766,0.028053,0
99676,0,0,0,-0.24846,0.028766,0.028053,0.01
99622,0,0,0,-0.29014,0.033978,0.03025,0
99622,0,0,0,-0.29014,0.033978,0.03025,0.01
99580,0,0,0,-0.32218,0.039348,0.032289,0
99580,0,0,0,-0.32218,0.039348,0.032289,0.01
99548,0,0,0,-0.3469,0.044863,0.034192,0
99548,0,0,0,-0.3469,0.044863,0.034192,0.01
99523,0,0,0,-0.36609,0.050514,0.035973,0
99523,0,0,0,-0.36609,0.050514,0.035973,0.01
99504,0,0,0,-0.38093,0.056294,0.037645,0
99504,0,0,0,-0.38093,0.056294,0.037645,0.01
99489,0,0,0,-0.39241,0.062199,0.039219,0
99489,0,0,0,-0.39241,0.062199,0.039219,0.01
99477,0,0,0,-0.40116,0.068226,0.040703,0
99477,0,0,0,-0.40116,0.068226,0.040703,0.01
99469,0,0,0,-0.40773,0.074371,0.042104,0
99469,0,0,0,-0.40773,0.074371,0.042104,0.01
99462,0,0,0,-0.41249,0.080635,0.043428,0
99462,0,0,0,-0.41249,0.080635,0.043428,0.01
99458,0,0,0,-0.41575,0.087014,0.044681,0
99458,0,0,0,-0.41575,0.087014,0.044681,0.01
99456,0,0,0,-0.41778,0.09351,0.045866,0
99456,0,0,0,-0.41778,0.09351,0.045866,0.01
99454,0,0,0,-0.41878,0.10012,0.046987,0
99454,0,0,0,-0.41878,0.10012,0.046987,0.01
99454,0,0,0,-0.41894,0.10685,0.048049,0
99454,0,0,0,-0.41894,0.10685,0.048049,0.01
99455,0,0,0,-0.41832,0.11369,0.049052,0
99455,0,0,0,-0.41832,0.11369,0.049052,0.01
99456,0,0,0,-0.41705,0.12065,0.050001,0
99456,0,0,0,-0.41705,0.12065,0.050001,0.01
99459,0,0,0,-0.41529,0.12773,0.050896,0
99459,0,0,0,-0.41529,0.12773,0.050896,0.01
99462,0,0,0,-0.41307,0.13493,0.051741,0
99462,0,0,0,-0.41307,0.13493,0.051741,0.01
99465,0,0,0,-0.41042,0.14224,0.052536,0
99465,0,0,0,-0.41042,0.14224,0.052536,0.01
99469,0,0,0,-0.40743,0.14968,0.053283,0
99469,0,0,0,-0.40743,0.14968,0.053283,0.01
99473,0,0,0,-0.40413,0.15724,0.053983,0
99473,0,0,0,-0.40413,0.15724,0.053983,0.01
99478,0,0,0,-0.40053,0.16492,0.054638,0
99478,0,0,0,-0.40053,0.16492,0.054638,0.01
99483,0,0,0,-0.39669,0.17272,0.055248,0
99483,0,0,0,-0.39669,0.17272,0.055248,0.01
99488,0,0,0,-0.39266,0.18066,0.055815,0
99488,0,0,0,-0.39266,0.18066,0.055815,0.01
99494,0,0,0,-0.38844,0.18871,0.056338,0
99494,0,0,0,-0.38844,0.18871,0.056338,0.01
99499,0,0,0,-0.38414,0.1969,0.056819,0
99499,0,0,0,-0.38414,0.1969,0.056819,0.01
99502,0,0,0,-0.38198,0.20522,0.057258,0
99502,0,0,0,-0.38198,0.20522,0.057258,0.01
