"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
99507,0,0,0,-0.37846,0.20522,-0.05733,0
99507,0,0,0,-0.37846,0.20522,-0.05733,0.01
99513,0,0,0,-0.37341,0.22556,-0.058265,0.01
99513,0,0,0,-0.37341,0.22556,-0.058265,0
99527,0,0,0,-0.36285,0.24571,-0.058931,0.01
99527,0,0,0,-0.36285,0.24571,-0.058931,0
99542,0,0,0,-0.35181,0.26565,-0.059362,0.01
99542,0,0,0,-0.35181,0.26565,-0.059362,0
99556,0,0,0,-0.34087,0.28539,-0.059586,0.01
99556,0,0,0,-0.34087,0.28539,-0.059586,0
99570,0,0,0,-0.33009,0.30493,-0.059626,0.01
99570,0,0,0,-0.33009,0.30493,-0.059626,0
99584,0,0,0,-0.31946,0.32426,-0.059501,0.01
99584,0,0,0,-0.31946,0.32426,-0.059501,0
99597,0,0,0,-0.30891,0.3434,-0.059229,0.01
99597,0,0,0,-0.30891,0.3434,-0.059229,0
99611,0,0,0,-0.2984,0.36233,-0.058825,0.01
99611,0,0,0,-0.2984,0.36233,-0.058825,0
99625,0,0,0,-0.28804,0.38106,-0.058301,0.01
99625,0,0,0,-0.28804,0.38106,-0.058301,0
99638,0,0,0,-0.27783,0.39959,-0.057669,0.01
99638,0,0,0,-0.27783,0.39959,-0.057669,0
99651,0,0,0,-0.26771,0.41793,-0.056938,0.01
99651,0,0,0,-0.26771,0.41793,-0.056938,0
99664,0,0,0,-0.2577,0.43607,-0.056118,0.01
99664,0,0,0,-0.2577,0.43607,-0.056118,0
99677,0,0,0,-0.24779,0.45402,-0.055217,0.01
99677,0,0,0,-0.24779,0.45402,-0.055217,0
99690,0,0,0,-0.23794,0.47178,-0.054242,0.01
99690,0,0,0,-0.23794,0.47178,-0.054242,0
99703,0,0,0,-0.22819,0.48935,-0.053199,0.01
99703,0,0,0,-0.22819,0.48935,-0.053199,0
99715,0,0,0,-0.21856,0.50674,-0.052094,0.01
99715,0,0,0,-0.21856,0.50674,-0.052094,0
99728,0,0,0,-0.20897,0.52394,-0.050933,0.01
99728,0,0,0,-0.20897,0.52394,-0.050933,0
99740,0,0,0,-0.19946,0.54096,-0.04972,0.01
99740,0,0,0,-0.19946,0.54096,-0.04972,0
99752,0,0,0,-0.19001,0.55779,-0.048461,0.01
99752,0,0,0,-0.19001,0.55779,-0.048461,0
99765,0,0,0,-0.18061,0.57445,-0.047158,0.01
99765,0,0,0,-0.18061,0.57445,-0.047158,0
99777,0,0,0,-0.17129,0.59093,-0.045816,0.01
99777,0,0,0,-0.17129,0.59093,-0.045816,0
99789,0,0,0,-0.16197,0.60724,-0.044439,0.01
99789,0,0,0,-0.16197,0.60724,-0.044439,0
99801,0,0,0,-0.15265,0.62337,-0.043029,0.01
99801,0,0,0,-0.15265,0.62337,-0.043029,0
99813,0,0,0,-0.14336,0.63933,-0.041589,0.01
