# y+ ()       
# Time        	patch         	min           	max           	average       
0             	airfoil-l1	2.162948e+00	2.737344e+00	2.366454e+00
0             	wall-l1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-l2	2.465656e+00	2.509202e+00	2.494683e+00
0             	wall-l2	0.000000e+00	0.000000e+00	0.000000e+00
0             	wall-h2	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h2	2.471797e+00	2.509281e+00	2.495312e+00
0             	wall-h1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h1	2.168587e+00	2.739236e+00	2.368518e+00
50            	airfoil-l1	2.551009e-01	3.513156e-01	2.920982e-01
50            	wall-l1	2.860847e+01	5.917057e+01	4.692330e+01
50            	airfoil-l2	1.589784e-01	2.682453e-01	2.257390e-01
50            	wall-l2	2.498299e+01	6.575184e+01	3.971972e+01
50            	wall-h2	3.166820e+01	7.049540e+01	4.517306e+01
50            	airfoil-h2	1.586174e-01	2.676921e-01	2.252446e-01
50            	wall-h1	3.461056e+01	6.085195e+01	5.212815e+01
50            	airfoil-h1	2.430033e-01	3.494620e-01	2.925752e-01
100           	airfoil-l1	2.567778e-01	3.522341e-01	3.165080e-01
100           	wall-l1	4.585346e+01	4.820538e+01	4.709935e+01
100           	airfoil-l2	1.363240e-01	3.023163e-01	2.326108e-01
100           	wall-l2	4.764628e+01	4.897220e+01	4.866170e+01
100           	wall-h2	4.289967e+01	4.884359e+01	4.658411e+01
100           	airfoil-h2	1.355672e-01	3.009999e-01	2.329984e-01
100           	wall-h1	4.778914e+01	4.915235e+01	4.846820e+01
100           	airfoil-h1	2.426869e-01	3.500735e-01	3.169497e-01
150           	airfoil-l1	2.567868e-01	3.522680e-01	3.173726e-01
150           	wall-l1	4.412527e+01	4.540448e+01	4.486139e+01
150           	airfoil-l2	1.433038e-01	3.051349e-01	2.383113e-01
150           	wall-l2	4.043156e+01	4.579863e+01	4.472957e+01
150           	wall-h2	4.147114e+01	4.593743e+01	4.503658e+01
150           	airfoil-h2	1.432198e-01	3.034755e-01	2.386141e-01
150           	wall-h1	4.428564e+01	4.542312e+01	4.499441e+01
150           	airfoil-h1	2.427459e-01	3.501300e-01	3.177028e-01
200           	airfoil-l1	2.566359e-01	3.521922e-01	3.173672e-01
200           	wall-l1	4.403773e+01	4.520236e+01	4.467863e+01
200           	airfoil-l2	1.455200e-01	3.051997e-01	2.389842e-01
200           	wall-l2	4.049563e+01	4.557466e+01	4.455168e+01
200           	wall-h2	4.297748e+01	4.692810e+01	4.608609e+01
200           	airfoil-h2	1.453137e-01	3.035381e-01	2.392175e-01
200           	wall-h1	4.500249e+01	4.635511e+01	4.573709e+01
200           	airfoil-h1	2.429217e-01	3.501814e-01	3.177427e-01
250           	airfoil-l1	2.566923e-01	3.522196e-01	3.173691e-01
250           	wall-l1	4.419092e+01	4.537449e+01	4.484940e+01
250           	airfoil-l2	1.460235e-01	3.051924e-01	2.390059e-01
250           	wall-l2	4.085147e+01	4.575632e+01	4.476612e+01
250           	wall-h2	4.240854e+01	4.658601e+01	4.570957e+01
250           	airfoil-h2	1.458017e-01	3.035427e-01	2.392470e-01
250           	wall-h1	4.475554e+01	4.603497e+01	4.545795e+01
250           	airfoil-h1	2.428552e-01	3.501618e-01	3.177378e-01
300           	airfoil-l1	2.566796e-01	3.522129e-01	3.173690e-01
300           	wall-l1	4.412040e+01	4.531029e+01	4.477662e+01
300           	airfoil-l2	1.462731e-01	3.051933e-01	2.389897e-01
300           	wall-l2	4.068035e+01	4.569408e+01	4.468073e+01
300           	wall-h2	4.260920e+01	4.668786e+01	4.583078e+01
300           	airfoil-h2	1.460431e-01	3.035389e-01	2.392304e-01
300           	wall-h1	4.486384e+01	4.613981e+01	4.556798e+01
300           	airfoil-h1	2.428679e-01	3.501643e-01	3.177357e-01
350           	airfoil-l1	2.566766e-01	3.522108e-01	3.173668e-01
350           	wall-l1	4.414825e+01	4.531984e+01	4.479821e+01
350           	airfoil-l2	1.464378e-01	3.051920e-01	2.389730e-01
350           	wall-l2	4.070573e+01	4.569530e+01	4.468948e+01
350           	wall-h2	4.256927e+01	4.669435e+01	4.582729e+01
350           	airfoil-h2	1.462101e-01	3.035286e-01	2.391995e-01
350           	wall-h1	4.484870e+01	4.614173e+01	4.555902e+01
350           	airfoil-h1	2.428706e-01	3.501646e-01	3.177338e-01
400           	airfoil-l1	2.566909e-01	3.522173e-01	3.173678e-01
400           	wall-l1	4.418007e+01	4.536763e+01	4.483721e+01
400           	airfoil-l2	1.465690e-01	3.051903e-01	2.389545e-01
400           	wall-l2	4.077326e+01	4.574898e+01	4.474470e+01
400           	wall-h2	4.250751e+01	4.665464e+01	4.578580e+01
400           	airfoil-h2	1.463366e-01	3.035274e-01	2.391843e-01
400           	wall-h1	4.483426e+01	4.611071e+01	4.553649e+01
400           	airfoil-h1	2.428525e-01	3.501585e-01	3.177305e-01
450           	airfoil-l1	2.566769e-01	3.522100e-01	3.173656e-01
450           	wall-l1	4.415635e+01	4.533849e+01	4.481023e+01
450           	airfoil-l2	1.466674e-01	3.051894e-01	2.389391e-01
450           	wall-l2	4.069732e+01	4.571518e+01	4.470309e+01
450           	wall-h2	4.258407e+01	4.670144e+01	4.583780e+01
450           	airfoil-h2	1.464308e-01	3.035253e-01	2.391668e-01
450           	wall-h1	4.487392e+01	4.615450e+01	4.557914e+01
450           	airfoil-h1	2.428676e-01	3.501622e-01	3.177308e-01
500           	airfoil-l1	2.566779e-01	3.522099e-01	3.173642e-01
500           	wall-l1	4.417629e+01	4.535290e+01	4.482812e+01
500           	airfoil-l2	1.467372e-01	3.051876e-01	2.389229e-01
500           	wall-l2	4.071685e+01	4.572691e+01	4.471747e+01
500           	wall-h2	4.255818e+01	4.670036e+01	4.583232e+01
500           	airfoil-h2	1.465045e-01	3.035243e-01	2.391507e-01
500           	wall-h1	4.487013e+01	4.615483e+01	4.557661e+01
500           	airfoil-h1	2.428654e-01	3.501613e-01	3.177302e-01
550           	airfoil-l1	2.566835e-01	3.522122e-01	3.173641e-01
550           	wall-l1	4.419513e+01	4.537630e+01	4.484942e+01
550           	airfoil-l2	1.467893e-01	3.051861e-01	2.389063e-01
550           	wall-l2	4.074958e+01	4.575337e+01	4.474479e+01
550           	wall-h2	4.253141e+01	4.668763e+01	4.581800e+01
550           	airfoil-h2	1.465549e-01	3.035230e-01	2.391357e-01
550           	wall-h1	4.486799e+01	4.614536e+01	4.557129e+01
550           	airfoil-h1	2.428575e-01	3.501582e-01	3.177282e-01
600           	airfoil-l1	2.566762e-01	3.522081e-01	3.173624e-01
600           	wall-l1	4.418915e+01	4.536850e+01	4.484150e+01
600           	airfoil-l2	1.468252e-01	3.051850e-01	2.388913e-01
600           	wall-l2	4.071513e+01	4.574188e+01	4.472916e+01
600           	wall-h2	4.256549e+01	4.671010e+01	4.584295e+01
600           	airfoil-h2	1.465870e-01	3.035213e-01	2.391198e-01
600           	wall-h1	4.489022e+01	4.616827e+01	4.559359e+01
600           	airfoil-h1	2.428650e-01	3.501598e-01	3.177279e-01
650           	airfoil-l1	2.566741e-01	3.522066e-01	3.173610e-01
650           	wall-l1	4.419769e+01	4.537387e+01	4.484938e+01
650           	airfoil-l2	1.468383e-01	3.051835e-01	2.388763e-01
650           	wall-l2	4.071402e+01	4.574585e+01	4.473282e+01
