# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	8.194119e-02	1.245127e-01	6.417283e-01
3             	1.553214e-01	8.917951e-03	2.150102e-01
4             	6.564208e-02	3.790893e-03	9.756759e-02
5             	7.254590e-02	2.600383e-02	3.212847e-01
6             	8.887676e-02	1.165077e-01	2.053124e-01
7             	8.363161e-02	2.885363e-02	1.608971e-01
8             	6.736560e-02	1.283963e-02	1.396305e-01
9             	1.589598e-01	3.394872e-03	4.490155e-02
10            	7.336382e-02	4.789417e-03	8.276592e-02
11            	5.824344e-02	8.032268e-03	1.133124e-01
12            	9.656438e-02	4.553977e-03	3.480579e-02
13            	1.865972e-01	6.267944e-03	6.228400e-02
14            	8.729645e-02	4.149967e-03	5.048392e-02
15            	1.866426e-01	1.931697e-03	3.284751e-02
16            	1.159120e-01	2.675246e-03	4.916588e-02
17            	6.627120e-02	2.401033e-03	3.311271e-02
18            	1.034501e-01	1.851553e-03	2.927105e-02
19            	3.991053e-01	2.089035e-03	3.117964e-02
20            	1.813904e-01	1.448482e-03	2.278907e-02
21            	2.748102e-01	1.164401e-03	1.976322e-02
22            	8.850425e-02	1.269169e-03	1.849834e-02
23            	6.877740e-02	9.561011e-04	1.404348e-02
24            	1.108349e-01	9.195160e-04	1.886217e-02
25            	2.098078e-01	8.683777e-04	1.700917e-02
26            	1.948098e-01	6.939660e-04	1.281240e-02
27            	1.014615e-01	6.615179e-04	1.149170e-02
28            	6.473276e-02	6.214217e-04	9.797956e-03
29            	6.249313e-02	5.381429e-04	1.024574e-02
30            	7.695504e-02	5.062710e-04	1.105767e-02
31            	8.408495e-02	4.667932e-04	9.938605e-03
32            	7.254838e-02	4.302219e-04	8.825267e-03
33            	5.497313e-02	4.102108e-04	8.271890e-03
34            	4.491805e-02	3.819018e-04	8.136008e-03
35            	4.500559e-02	3.494628e-04	8.542929e-03
36            	4.535239e-02	3.299803e-04	8.451664e-03
37            	4.205313e-02	3.123325e-04	7.894564e-03
38            	3.738501e-02	2.958411e-04	7.523375e-03
39            	3.299927e-02	2.822258e-04	7.375067e-03
40            	3.091037e-02	2.673128e-04	7.456744e-03
41            	3.063767e-02	2.540259e-04	7.572238e-03
42            	2.931596e-02	2.448721e-04	7.445113e-03
43            	2.778536e-02	2.343382e-04	7.192698e-03
44            	2.623750e-02	2.249769e-04	7.030129e-03
45            	2.482131e-02	2.186462e-04	7.012067e-03
46            	2.402483e-02	2.128557e-04	7.071132e-03
47            	2.338006e-02	2.072590e-04	7.051769e-03
48            	2.250225e-02	2.011681e-04	6.945876e-03
49            	2.173272e-02	1.953507e-04	6.821536e-03
50            	2.090641e-02	1.906701e-04	6.761905e-03
51            	2.041447e-02	1.861173e-04	6.746241e-03
52            	2.002892e-02	1.817809e-04	6.720754e-03
53            	1.947416e-02	1.778276e-04	6.679115e-03
54            	1.877828e-02	1.739235e-04	6.595732e-03
55            	1.814629e-02	1.698366e-04	6.519062e-03
56            	1.761703e-02	1.657385e-04	6.479500e-03
57            	1.721098e-02	1.618887e-04	6.452944e-03
58            	1.683295e-02	1.584976e-04	6.420913e-03
59            	1.647216e-02	1.553323e-04	6.370357e-03
60            	1.605188e-02	1.523690e-04	6.313959e-03
61            	1.555121e-02	1.495043e-04	6.272770e-03
62            	1.516645e-02	1.468346e-04	6.250994e-03
63            	1.482593e-02	1.444005e-04	6.235454e-03
64            	1.448585e-02	1.420890e-04	6.213452e-03
65            	1.418760e-02	1.396290e-04	6.180820e-03
