"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
101303,0,0,0,0.999855,0,0,0
101292,0,0,0,0.99103,4.79088e-05,0.00119585,0
101292,0,0,0,0.99103,4.79088e-05,0.00119585,0.01
101303,0,0,0,0.999855,0,0,0.01
101256,0,0,0,0.964173,0.0001912,0.00238847,0
101256,0,0,0,0.964173,0.0001912,0.00238847,0.01
101200,0,0,0,0.920434,0.000427615,0.00357063,0
101200,0,0,0,0.920434,0.000427615,0.00357063,0.01
101125,0,0,0,0.863267,0.000753015,0.00473594,0
101125,0,0,0,0.863267,0.000753015,0.00473594,0.01
101038,0,0,0,0.796891,0.00116198,0.0058794,0
101038,0,0,0,0.796891,0.00116198,0.0058794,0.01
100945,0,0,0,0.725144,0.0016482,0.0069971,0
100945,0,0,0,0.725144,0.0016482,0.0069971,0.01
100848,0,0,0,0.651095,0.00220503,0.00808634,0
100848,0,0,0,0.651095,0.00220503,0.00808634,0.01
100752,0,0,0,0.57743,0.00282583,0.00914552,0
100752,0,0,0,0.57743,0.00282583,0.00914552,0.01
100659,0,0,0,0.505683,0.00350435,0.010174,0
100659,0,0,0,0.505683,0.00350435,0.010174,0.01
100570,0,0,0,0.437005,0.00423487,0.0111718,0
100570,0,0,0,0.437005,0.00423487,0.0111718,0.01
100486,0,0,0,0.372931,0.0050123,0.0121398,0
100486,0,0,0,0.372931,0.0050123,0.0121398,0.01
100408,0,0,0,0.313078,0.00583146,0.013078,0
100408,0,0,0,0.313078,0.00583146,0.013078,0.01
100336,0,0,0,0.257445,0.00668892,0.0139883,0
100336,0,0,0,0.257445,0.00668892,0.0139883,0.01
100270,0,0,0,0.2068,0.00758031,0.014871,0
100270,0,0,0,0.2068,0.00758031,0.014871,0.01
100208,0,0,0,0.159992,0.00850312,0.0157282,0
100208,0,0,0,0.159992,0.00850312,0.0157282,0.01
100152,0,0,0,0.117021,0.00945445,0.0165607,0
100152,0,0,0,0.117021,0.00945445,0.0165607,0.01
100102,0,0,0,0.0778859,0.0104316,0.0173697,0
100102,0,0,0,0.0778859,0.0104316,0.0173697,0.01
100054,0,0,0,0.0418205,0.0114326,0.0181564,0
100054,0,0,0,0.0418205,0.0114326,0.0181564,0.01
100011,0,0,0,0.00874657,0.0124556,0.018922,0
100011,0,0,0,0.00874657,0.0124556,0.018922,0.01
99971.9,0,0,0,-0.0215637,0.0134992,0.0196675,0
99971.9,0,0,0,-0.0215637,0.0134992,0.0196675,0.01
99935.5,0,0,0,-0.0495299,0.0145617,0.020394,0
99935.5,0,0,0,-0.0495299,0.0145617,0.020394,0.01
99902,0,0,0,-0.0752361,0.0156417,0.0211022,0
99902,0,0,0,-0.0752361,0.0156417,0.0211022,0.01
99871.1,0,0,0,-0.09891,0.0167386,0.0217932,0
99871.1,0,0,0,-0.09891,0.0167386,0.0217932,0.01
99842.5,0,0,0,-0.120893,0.0178513,0.022468,0
99842.5,0,0,0,-0.120893,0.0178513,0.022468,0.01
99815.9,0,0,0,-0.14127,0.0189788,0.0231271,0
99815.9,0,0,0,-0.14127,0.0189788,0.0231271,0.01
99791.5,0,0,0,-0.159992,0.0201199,0.0237711,0
99791.5,0,0,0,-0.159992,0.0201199,0.0237711,0.01
99768.9,0,0,0,-0.177335,0.021275,0.0244012,0
99768.9,0,0,0,-0.177335,0.021275,0.0244012,0.01
99747.8,0,0,0,-0.193528,0.0224422,0.0250173,0
99747.8,0,0,0,-0.193528,0.0224422,0.0250173,0.01
99728.2,0,0,0,-0.208527,0.0236221,0.0256207,0
99728.2,0,0,0,-0.208527,0.0236221,0.0256207,0.01
99710,0,0,0,-0.222531,0.0248132,0.0262113,0
99710,0,0,0,-0.222531,0.0248132,0.0262113,0.01
99693,0,0,0,-0.235612,0.0260161,0.0267903,0
99693,0,0,0,-0.235612,0.0260161,0.0267903,0.01
99677.1,0,0,0,-0.247776,0.0272291,0.0273575,0
