"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
99500.8,0,0,0,-0.383063,0.205218,-0.0573301,0
99500.8,0,0,0,-0.383063,0.205218,-0.0573301,0.01
99502.1,0,0,0,-0.382026,0.210157,-0.0575829,0.01
99502.1,0,0,0,-0.382026,0.210157,-0.0575829,0
99505,0,0,0,-0.379801,0.215084,-0.0578181,0.01
99505,0,0,0,-0.379801,0.215084,-0.0578181,0
99508.2,0,0,0,-0.37738,0.22,-0.0580366,0.01
99508.2,0,0,0,-0.37738,0.22,-0.0580366,0
99511.4,0,0,0,-0.374928,0.224905,-0.0582388,0.01
99511.4,0,0,0,-0.374928,0.224905,-0.0582388,0
99514.6,0,0,0,-0.37247,0.229798,-0.0584252,0.01
99514.6,0,0,0,-0.37247,0.229798,-0.0584252,0
99517.8,0,0,0,-0.370018,0.234679,-0.0585965,0.01
99517.8,0,0,0,-0.370018,0.234679,-0.0585965,0
99521,0,0,0,-0.36756,0.239548,-0.058753,0.01
99521,0,0,0,-0.36756,0.239548,-0.058753,0
99524.2,0,0,0,-0.365066,0.244406,-0.0588952,0.01
99524.2,0,0,0,-0.365066,0.244406,-0.0588952,0
99527.5,0,0,0,-0.362536,0.249252,-0.0590235,0.01
99527.5,0,0,0,-0.362536,0.249252,-0.0590235,0
99530.9,0,0,0,-0.36,0.254087,-0.0591385,0.01
99530.9,0,0,0,-0.36,0.254087,-0.0591385,0
99534.1,0,0,0,-0.35747,0.258909,-0.0592404,0.01
99534.1,0,0,0,-0.35747,0.258909,-0.0592404,0
99537.5,0,0,0,-0.354935,0.263721,-0.0593297,0.01
99537.5,0,0,0,-0.354935,0.263721,-0.0593297,0
99540.8,0,0,0,-0.352405,0.26852,-0.0594068,0.01
99540.8,0,0,0,-0.352405,0.26852,-0.0594068,0
99544,0,0,0,-0.349875,0.273307,-0.0594719,0.01
99544,0,0,0,-0.349875,0.273307,-0.0594719,0
99547.4,0,0,0,-0.347339,0.278083,-0.0595255,0.01
99547.4,0,0,0,-0.347339,0.278083,-0.0595255,0
99550.6,0,0,0,-0.344809,0.282847,-0.0595679,0.01
99550.6,0,0,0,-0.344809,0.282847,-0.0595679,0
99554,0,0,0,-0.342237,0.287599,-0.0595993,0.01
99554,0,0,0,-0.342237,0.287599,-0.0595993,0
99557.4,0,0,0,-0.339666,0.292339,-0.0596201,0.01
99557.4,0,0,0,-0.339666,0.292339,-0.0596201,0
99560.6,0,0,0,-0.337136,0.297068,-0.0596305,0.01
99560.6,0,0,0,-0.337136,0.297068,-0.0596305,0
99564,0,0,0,-0.334564,0.301785,-0.059631,0.01
99564,0,0,0,-0.334564,0.301785,-0.059631,0
99567.4,0,0,0,-0.331992,0.30649,-0.0596216,0.01
99567.4,0,0,0,-0.331992,0.30649,-0.0596216,0
99570.6,0,0,0,-0.329462,0.311183,-0.0596027,0.01
99570.6,0,0,0,-0.329462,0.311183,-0.0596027,0
99574,0,0,0,-0.326926,0.315864,-0.0595745,0.01
99574,0,0,0,-0.326926,0.315864,-0.0595745,0
99577.3,0,0,0,-0.324361,0.320534,-0.0595373,0.01
99577.3,0,0,0,-0.324361,0.320534,-0.0595373,0
99580.6,0,0,0,-0.321789,0.325193,-0.0594913,0.01
99580.6,0,0,0,-0.321789,0.325193,-0.0594913,0
99584,0,0,0,-0.319253,0.329839,-0.0594368,0.01
99584,0,0,0,-0.319253,0.329839,-0.0594368,0
99587.2,0,0,0,-0.316723,0.334474,-0.0593738,0.01
99587.2,0,0,0,-0.316723,0.334474,-0.0593738,0
99590.5,0,0,0,-0.314193,0.339097,-0.0593028,0.01
99590.5,0,0,0,-0.314193,0.339097,-0.0593028,0
99593.9,0,0,0,-0.311657,0.343708,-0.0592238,0.01
99593.9,0,0,0,-0.311657,0.343708,-0.0592238,0
99597.1,0,0,0,-0.309127,0.348308,-0.059137,0.01
99597.1,0,0,0,-0.309127,0.348308,-0.059137,0
99600.5,0,0,0,-0.306592,0.352897,-0.0590427,0.01
99600.5,0,0,0,-0.306592,0.352897,-0.0590427,0
99603.8,0,0,0,-0.304062,0.357473,-0.058941,0.01
99603.8,0,0,0,-0.304062,0.357473,-0.058941,0
99607,0,0,0,-0.301568,0.362039,-0.0588321,0.01
99607,0,0,0,-0.301568,0.362039,-0.0588321,0
99610.2,0,0,0,-0.299074,0.366592,-0.0587162,0.01
99610.2,0,0,0,-0.299074,0.366592,-0.0587162,0
99613.5,0,0,0,-0.29658,0.371134,-0.0585934,0.01
99613.5,0,0,0,-0.29658,0.371134,-0.0585934,0
99616.8,0,0,0,-0.294086,0.375665,-0.058464,0.01
99616.8,0,0,0,-0.294086,0.375665,-0.058464,0
99620,0,0,0,-0.291592,0.380184,-0.058328,0.01
99620,0,0,0,-0.291592,0.380184,-0.058328,0
99623.2,0,0,0,-0.289134,0.384692,-0.0581857,0.01
99623.2,0,0,0,-0.289134,0.384692,-0.0581857,0
99626.5,0,0,0,-0.286641,0.389188,-0.0580371,0.01
99626.5,0,0,0,-0.286641,0.389188,-0.0580371,0
