# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	1.220580e-03	4.732580e-05	3.229773e-03
119           	1.185730e-03	4.625906e-05	3.132402e-03
120           	1.166086e-03	4.520461e-05	3.035211e-03
121           	1.146393e-03	4.417447e-05	2.935847e-03
122           	1.117946e-03	4.320458e-05	2.837661e-03
123           	1.086157e-03	4.231922e-05	2.743597e-03
124           	1.063469e-03	4.146089e-05	2.653722e-03
125           	1.049354e-03	4.062691e-05	2.570140e-03
126           	1.023984e-03	3.982662e-05	2.489171e-03
127           	9.927291e-04	3.906368e-05	2.406358e-03
128           	9.781755e-04	3.835140e-05	2.323153e-03
129           	9.641624e-04	3.771786e-05	2.239612e-03
130           	9.362598e-04	3.714421e-05	2.158604e-03
131           	8.975926e-04	3.657077e-05	2.085331e-03
132           	8.709794e-04	3.601489e-05	2.017654e-03
133           	8.571087e-04	3.546197e-05	1.955707e-03
134           	8.392203e-04	3.493917e-05	1.893590e-03
135           	8.098246e-04	3.446955e-05	1.830962e-03
136           	7.891971e-04	3.407723e-05	1.768238e-03
137           	7.776654e-04	3.372677e-05	1.706112e-03
138           	7.521320e-04	3.343431e-05	1.644682e-03
139           	7.134269e-04	3.315641e-05	1.588924e-03
140           	6.924677e-04	3.286119e-05	1.540898e-03
141           	6.820301e-04	3.257800e-05	1.496164e-03
142           	6.672678e-04	3.230527e-05	1.453113e-03
143           	6.445755e-04	3.206667e-05	1.408337e-03
144           	6.242618e-04	3.183256e-05	1.362674e-03
145           	6.160150e-04	3.157573e-05	1.319729e-03
146           	6.051432e-04	3.130746e-05	1.280578e-03
147           	5.779054e-04	3.105150e-05	1.244714e-03
148           	5.596371e-04	3.080835e-05	1.211114e-03
149           	5.605236e-04	3.056285e-05	1.179592e-03
150           	5.551093e-04	3.031163e-05	1.151429e-03
151           	5.368260e-04	3.004694e-05	1.126236e-03
152           	5.271610e-04	2.978689e-05	1.101759e-03
153           	5.257844e-04	2.952200e-05	1.077755e-03
154           	5.190653e-04	2.924835e-05	1.055236e-03
155           	5.074588e-04	2.896174e-05	1.032787e-03
156           	4.983675e-04	2.868615e-05	1.018300e-03
157           	4.930230e-04	2.839715e-05	1.001372e-03
158           	4.870913e-04	2.813106e-05	9.844595e-04
159           	4.786072e-04	2.786703e-05	9.719643e-04
160           	4.708543e-04	2.760234e-05	9.642606e-04
161           	4.646498e-04	2.733519e-05	9.552497e-04
162           	4.559771e-04	2.707555e-05	9.471544e-04
163           	4.458064e-04	2.681938e-05	9.396843e-04
164           	4.419183e-04	2.656211e-05	9.350467e-04
165           	4.371917e-04	2.629230e-05	9.282726e-04
166           	4.259619e-04	2.601410e-05	9.227964e-04
167           	4.190370e-04	2.573393e-05	9.194780e-04
168           	4.182794e-04	2.544945e-05	9.170019e-04
169           	4.138887e-04	2.516172e-05	9.147935e-04
170           	4.035574e-04	2.487694e-05	9.127820e-04
171           	3.979681e-04	2.459454e-05	9.107749e-04
172           	3.968048e-04	2.431009e-05	9.084648e-04
173           	3.927417e-04	2.401599e-05	9.064096e-04
174           	3.834423e-04	2.371663e-05	9.046507e-04
175           	3.774400e-04	2.341645e-05	9.028296e-04
176           	3.755281e-04	2.311848e-05	9.000691e-04
177           	3.709248e-04	2.282526e-05	8.962785e-04
178           	3.619453e-04	2.253096e-05	8.925278e-04
179           	3.555156e-04	2.223313e-05	8.880811e-04
180           	3.534585e-04	2.193670e-05	8.824593e-04
181           	3.497731e-04	2.164103e-05	8.756300e-04
182           	3.415408e-04	2.134013e-05	8.699331e-04
183           	3.332662e-04	2.103166e-05	8.641324e-04
184           	3.294519e-04	2.072062e-05	8.573309e-04
185           	3.268058e-04	2.040599e-05	8.497311e-04
186           	3.207951e-04	2.008878e-05	8.414039e-04
187           	3.132075e-04	1.976526e-05	8.322344e-04
188           	3.092393e-04	1.944169e-05	8.218168e-04
189           	3.084455e-04	1.911512e-05	8.124626e-04
190           	3.046492e-04	1.879174e-05	8.021956e-04
191           	2.968434e-04	1.847103e-05	7.910123e-04
192           	2.915912e-04	1.814670e-05	7.805149e-04
193           	2.899410e-04	1.781766e-05	7.706324e-04
194           	2.882589e-04	1.749033e-05	7.584581e-04
195           	2.831463e-04	1.716480e-05	7.455228e-04
196           	2.763761e-04	1.683600e-05	7.326932e-04
197           	2.733231e-04	1.650656e-05	7.208406e-04
198           	2.716651e-04	1.617767e-05	7.082141e-04
199           	2.674711e-04	1.586793e-05	6.943681e-04
200           	2.624243e-04	1.558784e-05	6.809707e-04
201           	2.582680e-04	1.534033e-05	6.635802e-04
202           	2.550056e-04	1.510453e-05	6.477045e-04
203           	2.515520e-04	1.486796e-05	6.346207e-04
204           	2.456439e-04	1.463221e-05	6.225853e-04
205           	2.396247e-04	1.439815e-05	6.095497e-04
206           	2.373899e-04	1.417568e-05	5.943842e-04
207           	2.358258e-04	1.396449e-05	5.796219e-04
208           	2.321955e-04	1.375802e-05	5.658121e-04
209           	2.276461e-04	1.355561e-05	5.524007e-04
210           	2.253137e-04	1.336090e-05	5.387403e-04
211           	2.239119e-04	1.317614e-05	5.245788e-04
212           	2.212753e-04	1.300128e-05	5.103606e-04
213           	2.176193e-04	1.283503e-05	4.963655e-04
214           	2.143290e-04	1.267020e-05	4.827590e-04
215           	2.121340e-04	1.251886e-05	4.690433e-04
216           	2.103898e-04	1.235769e-05	4.565035e-04
217           	2.069309e-04	1.221124e-05	4.440936e-04
218           	2.029221e-04	1.208705e-05	4.305955e-04
219           	1.999832e-04	1.197894e-05	4.174257e-04
220           	1.974382e-04	1.186865e-05	4.051847e-04
221           	1.937762e-04	1.175708e-05	3.935537e-04
222           	1.895328e-04	1.165775e-05	3.817908e-04
223           	1.858611e-04	1.157548e-05	3.700348e-04
224           	1.827566e-04	1.149571e-05	3.592340e-04
225           	1.793004e-04	1.142702e-05	3.475668e-04
226           	1.749863e-04	1.135777e-05	3.372937e-04
227           	1.699355e-04	1.129562e-05	3.276280e-04
228           	1.654044e-04	1.124498e-05	3.175785e-04
229           	1.616862e-04	1.115875e-05	3.086364e-04
230           	1.578407e-04	1.111307e-05	2.984991e-04
231           	1.527497e-04	1.107984e-05	2.886217e-04
232           	1.478898e-04	1.103766e-05	2.802094e-04
233           	1.436381e-04	1.099254e-05	2.724374e-04
234           	1.393093e-04	1.091265e-05	2.662666e-04
235           	1.347906e-04	1.085795e-05	2.588428e-04
236           	1.298093e-04	1.082697e-05	2.497519e-04
237           	1.251400e-04	1.080565e-05	2.415855e-04
238           	1.211427e-04	1.075488e-05	2.360708e-04
239           	1.168250e-04	1.068166e-05	2.311693e-04
240           	1.121691e-04	1.063041e-05	2.255194e-04
241           	1.077202e-04	1.060355e-05	2.182415e-04
242           	1.037458e-04	1.057964e-05	2.108835e-04
243           	1.000408e-04	1.051270e-05	2.073470e-04
244           	9.621956e-05	1.045149e-05	2.049271e-04
245           	9.207608e-05	1.039834e-05	2.007740e-04
246           	8.809039e-05	1.036062e-05	1.946680e-04
247           	8.488100e-05	1.031385e-05	1.893985e-04
248           	8.176216e-05	1.025994e-05	1.860742e-04
249           	7.837140e-05	1.020152e-05	1.833180e-04
250           	7.536290e-05	1.015364e-05	1.802810e-04
251           	7.234146e-05	1.010686e-05	1.767850e-04
252           	6.947368e-05	1.004794e-05	1.746946e-04
253           	6.683323e-05	9.990226e-06	1.727102e-04
254           	6.363824e-05	9.939490e-06	1.696237e-04
255           	6.063747e-05	9.887529e-06	1.675729e-04
256           	5.858043e-05	9.836899e-06	1.656770e-04
257           	5.651511e-05	9.785329e-06	1.634009e-04
258           	5.409719e-05	9.732501e-06	1.623840e-04
259           	5.171056e-05	9.681264e-06	1.615319e-04
260           	4.958404e-05	9.628558e-06	1.607134e-04
261           	4.777614e-05	9.576611e-06	1.595712e-04
262           	4.608841e-05	9.526109e-06	1.578901e-04
263           	4.365705e-05	9.474673e-06	1.565560e-04
264           	4.205835e-05	9.423225e-06	1.558866e-04
265           	4.059836e-05	9.368636e-06	1.564855e-04
266           	3.887474e-05	9.313225e-06	1.564678e-04
267           	3.728318e-05	9.259239e-06	1.560833e-04
268           	3.558944e-05	9.212906e-06	1.545490e-04
269           	3.468241e-05	9.159914e-06	1.536439e-04
270           	3.322326e-05	9.102306e-06	1.531911e-04
271           	3.172299e-05	9.038254e-06	1.550519e-04
272           	3.022420e-05	8.978204e-06	1.549692e-04
273           	2.823569e-05	8.926059e-06	1.527896e-04
274           	2.732821e-05	8.867162e-06	1.518818e-04
275           	2.641526e-05	8.809787e-06	1.507531e-04
276           	2.616399e-05	8.747319e-06	1.502162e-04
277           	2.484653e-05	8.681831e-06	1.506793e-04
