"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
99503,0,0,0,-0.38129,0.20522,-0.05733,0
99503,0,0,0,-0.38129,0.20522,-0.05733,0.01
99506,0,0,0,-0.37911,0.215,-0.057814,0.01
99506,0,0,0,-0.37911,0.215,-0.057814,0
99512,0,0,0,-0.37446,0.22474,-0.058232,0.01
99512,0,0,0,-0.37446,0.22474,-0.058232,0
99518,0,0,0,-0.36951,0.23443,-0.058588,0.01
99518,0,0,0,-0.36951,0.23443,-0.058588,0
99525,0,0,0,-0.36448,0.24408,-0.058886,0.01
99525,0,0,0,-0.36448,0.24408,-0.058886,0
99532,0,0,0,-0.35946,0.25367,-0.059129,0.01
99532,0,0,0,-0.35946,0.25367,-0.059129,0
99538,0,0,0,-0.35444,0.26323,-0.059321,0.01
99538,0,0,0,-0.35444,0.26323,-0.059321,0
99545,0,0,0,-0.34937,0.27273,-0.059465,0.01
99545,0,0,0,-0.34937,0.27273,-0.059465,0
99551,0,0,0,-0.34427,0.28219,-0.059563,0.01
99551,0,0,0,-0.34427,0.28219,-0.059563,0
99558,0,0,0,-0.33917,0.29161,-0.059618,0.01
99558,0,0,0,-0.33917,0.29161,-0.059618,0
99565,0,0,0,-0.3341,0.30097,-0.059632,0.01
99565,0,0,0,-0.3341,0.30097,-0.059632,0
99571,0,0,0,-0.32904,0.3103,-0.059607,0.01
99571,0,0,0,-0.32904,0.3103,-0.059607,0
99578,0,0,0,-0.32397,0.31957,-0.059546,0.01
99578,0,0,0,-0.32397,0.31957,-0.059546,0
99584,0,0,0,-0.31891,0.3288,-0.05945,0.01
99584,0,0,0,-0.31891,0.3288,-0.05945,0
99591,0,0,0,-0.31388,0.33798,-0.059321,0.01
99591,0,0,0,-0.31388,0.33798,-0.059321,0
99598,0,0,0,-0.30886,0.34712,-0.05916,0.01
99598,0,0,0,-0.30886,0.34712,-0.05916,0
99604,0,0,0,-0.30383,0.35621,-0.05897,0.01
99604,0,0,0,-0.30383,0.35621,-0.05897,0
99610,0,0,0,-0.29888,0.36525,-0.058751,0.01
