"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
99842,0,0,0,-0.12097,0.68452,0.037406,0.01
99848,0,0,0,-0.11645,0.6919,0.036675,0
99848,0,0,0,-0.11645,0.6919,0.036675,0.01
99854,0,0,0,-0.11191,0.69925,0.035938,0
99854,0,0,0,-0.11191,0.69925,0.035938,0.01
99860,0,0,0,-0.10739,0.70656,0.035197,0
99860,0,0,0,-0.10739,0.70656,0.035197,0.01
99866,0,0,0,-0.10282,0.71383,0.034452,0
99866,0,0,0,-0.10282,0.71383,0.034452,0.01
99872,0,0,0,-0.098257,0.72107,0.033702,0
99872,0,0,0,-0.098257,0.72107,0.033702,0.01
99878,0,0,0,-0.093652,0.72826,0.032949,0
99878,0,0,0,-0.093652,0.72826,0.032949,0.01
99884,0,0,0,-0.089012,0.73543,0.032193,0
99884,0,0,0,-0.089012,0.73543,0.032193,0.01
99890,0,0,0,-0.084366,0.74255,0.031432,0
99890,0,0,0,-0.084366,0.74255,0.031432,0.01
99896,0,0,0,-0.079684,0.74964,0.030669,0
99896,0,0,0,-0.079684,0.74964,0.030669,0.01
99902,0,0,0,-0.075008,0.7567,0.029903,0
99902,0,0,0,-0.075008,0.7567,0.029903,0.01
99908,0,0,0,-0.070284,0.76372,0.029134,0
99908,0,0,0,-0.070284,0.76372,0.029134,0.01
99915,0,0,0,-0.06553,0.7707,0.028362,0
99915,0,0,0,-0.06553,0.7707,0.028362,0.01
99921,0,0,0,-0.060734,0.77765,0.027588,0
99921,0,0,0,-0.060734,0.77765,0.027588,0.01
99927,0,0,0,-0.055897,0.78456,0.026812,0
99927,0,0,0,-0.055897,0.78456,0.026812,0.01
99934,0,0,0,-0.051029,0.79144,0.026034,0
99934,0,0,0,-0.051029,0.79144,0.026034,0.01
99940,0,0,0,-0.046113,0.79828,0.025253,0
99940,0,0,0,-0.046113,0.79828,0.025253,0.01
99946,0,0,0,-0.041167,0.80509,0.024471,0
99946,0,0,0,-0.041167,0.80509,0.024471,0.01
99953,0,0,0,-0.036137,0.81186,0.023687,0
99953,0,0,0,-0.036137,0.81186,0.023687,0.01
99960,0,0,0,-0.031078,0.8186,0.022902,0
99960,0,0,0,-0.031078,0.8186,0.022902,0.01
99966,0,0,0,-0.02597,0.82531,0.022116,0
99966,0,0,0,-0.02597,0.82531,0.022116,0.01
99973,0,0,0,-0.020754,0.83198,0.021328,0
99973,0,0,0,-0.020754,0.83198,0.021328,0.01
99980,0,0,0,-0.015461,0.83862,0.02054,0
99980,0,0,0,-0.015461,0.83862,0.02054,0.01
99987,0,0,0,-0.010125,0.84523,0.01975,0
99987,0,0,0,-0.010125,0.84523,0.01975,0.01
99994,0,0,0,-0.004718,0.8518,0.01896,0
99994,0,0,0,-0.004718,0.8518,0.01896,0.01
1e+05,0,0,0,0.00092322,0.85834,0.018169,0
1e+05,0,0,0,0.00092322,0.85834,0.018169,0.01
1.0001e+05,0,0,0,0.0065225,0.86484,0.017377,0
1.0001e+05,0,0,0,0.0065225,0.86484,0.017377,0.01
1.0002e+05,0,0,0,0.012278,0.87132,0.016585,0
1.0002e+05,0,0,0,0.012278,0.87132,0.016585,0.01
1.0002e+05,0,0,0,0.018033,0.87776,0.015793,0
1.0002e+05,0,0,0,0.018033,0.87776,0.015793,0.01
1.0003e+05,0,0,0,0.023788,0.88417,0.015,0
1.0003e+05,0,0,0,0.023788,0.88417,0.015,0.01
1.0004e+05,0,0,0,0.029927,0.89055,0.014207,0
1.0004e+05,0,0,0,0.029927,0.89055,0.014207,0.01
1.0005e+05,0,0,0,0.036449,0.89689,0.013414,0
1.0005e+05,0,0,0,0.036449,0.89689,0.013414,0.01
1.0006e+05,0,0,0,0.042972,0.9032,0.012621,0
1.0006e+05,0,0,0,0.042972,0.9032,0.012621,0.01
1.0006e+05,0,0,0,0.049494,0.90948,0.011829,0
1.0006e+05,0,0,0,0.049494,0.90948,0.011829,0.01
1.0007e+05,0,0,0,0.0564,0.91573,0.011036,0
1.0007e+05,0,0,0,0.0564,0.91573,0.011036,0.01
1.0008e+05,0,0,0,0.063306,0.92195,0.010244,0
1.0008e+05,0,0,0,0.063306,0.92195,0.010244,0.01
1.0009e+05,0,0,0,0.070596,0.92814,0.0094524,0
1.0009e+05,0,0,0,0.070596,0.92814,0.0094524,0.01
1.001e+05,0,0,0,0.07827,0.93429,0.008661,0
1.001e+05,0,0,0,0.07827,0.93429,0.008661,0.01
1.0011e+05,0,0,0,0.086327,0.94042,0.0078701,0
1.0011e+05,0,0,0,0.086327,0.94042,0.0078701,0.01
1.0012e+05,0,0,0,0.094768,0.94651,0.0070797,0
1.0012e+05,0,0,0,0.094768,0.94651,0.0070797,0.01
1.0013e+05,0,0,0,0.10321,0.95258,0.0062899,0
1.0013e+05,0,0,0,0.10321,0.95258,0.0062899,0.01
1.0015e+05,0,0,0,0.11242,0.95861,0.0055008,0
1.0015e+05,0,0,0,0.11242,0.95861,0.0055008,0.01
1.0016e+05,0,0,0,0.1224,0.96461,0.0047125,0
1.0016e+05,0,0,0,0.1224,0.96461,0.0047125,0.01
1.0017e+05,0,0,0,0.13237,0.97058,0.0039249,0
1.0017e+05,0,0,0,0.13237,0.97058,0.0039249,0.01
1.0019e+05,0,0,0,0.1435,0.97653,0.0031381,0
1.0019e+05,0,0,0,0.1435,0.97653,0.0031381,0.01
1.002e+05,0,0,0,0.15539,0.98244,0.0023522,0
1.002e+05,0,0,0,0.15539,0.98244,0.0023522,0.01
1.0022e+05,0,0,0,0.16882,0.98832,0.0015672,0
1.0022e+05,0,0,0,0.16882,0.98832,0.0015672,0.01
1.0024e+05,0,0,0,0.18225,0.99418,0.00078305,0
1.0024e+05,0,0,0,0.18225,0.99418,0.00078305,0.01
1.0024e+05,0,0,0,0.188,1,0,0
1.0024e+05,0,0,0,0.188,1,0,0.01
