"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
1.0129e+05,0,0,0,0.99141,0,0,0
1.0129e+05,0,0,0,0.99141,0,0,0.01
1.0124e+05,0,0,0,0.95229,0.00019969,-0.0023792,0.01
1.0124e+05,0,0,0,0.95229,0.00019969,-0.0023792,0
1.011e+05,0,0,0,0.84755,0.00078454,-0.0047123,0.01
1.011e+05,0,0,0,0.84755,0.00078454,-0.0047123,0
1.0092e+05,0,0,0,0.70675,0.0017114,-0.0069516,0.01
1.0092e+05,0,0,0,0.70675,0.0017114,-0.0069516,0
1.0073e+05,0,0,0,0.55903,0.0029234,-0.0090713,0.01
1.0073e+05,0,0,0,0.55903,0.0029234,-0.0090713,0
1.0055e+05,0,0,0,0.42129,0.0043656,-0.011065,0.01
1.0055e+05,0,0,0,0.42129,0.0043656,-0.011065,0
1.0039e+05,0,0,0,0.30043,0.0059915,-0.012935,0.01
1.0039e+05,0,0,0,0.30043,0.0059915,-0.012935,0
1.0026e+05,0,0,0,0.19837,0.0077655,-0.014692,0.01
1.0026e+05,0,0,0,0.19837,0.0077655,-0.014692,0
1.0015e+05,0,0,0,0.11319,0.0096599,-0.016346,0.01
1.0015e+05,0,0,0,0.11319,0.0096599,-0.016346,0
1.0006e+05,0,0,0,0.04221,0.011655,-0.017909,0.01
1.0006e+05,0,0,0,0.04221,0.011655,-0.017909,0
99977,0,0,0,-0.017643,0.013735,-0.019388,0.01
99977,0,0,0,-0.017643,0.013735,-0.019388,0
99911,0,0,0,-0.06833,0.015887,-0.020794,0.01
99911,0,0,0,-0.06833,0.015887,-0.020794,0
99855,0,0,0,-0.11134,0.018104,-0.022133,0.01
99855,0,0,0,-0.11134,0.018104,-0.022133,0
99807,0,0,0,-0.14833,0.020378,-0.023412,0.01
99807,0,0,0,-0.14833,0.020378,-0.023412,0
99765,0,0,0,-0.18009,0.022704,-0.024637,0.01
99765,0,0,0,-0.18009,0.022704,-0.024637,0
99729,0,0,0,-0.20768,0.025076,-0.025812,0.01
99729,0,0,0,-0.20768,0.025076,-0.025812,0
99698,0,0,0,-0.23174,0.027492,-0.026941,0.01
99698,0,0,0,-0.23174,0.027492,-0.026941,0
99670,0,0,0,-0.25284,0.029948,-0.028028,0.01
99670,0,0,0,-0.25284,0.029948,-0.028028,0
99646,0,0,0,-0.27152,0.032443,-0.029076,0.01
99646,0,0,0,-0.27152,0.032443,-0.029076,0
99625,0,0,0,-0.28791,0.034974,-0.030088,0.01
99625,0,0,0,-0.28791,0.034974,-0.030088,0
99606,0,0,0,-0.30229,0.03754,-0.031067,0.01
99606,0,0,0,-0.30229,0.03754,-0.031067,0
99589,0,0,0,-0.31511,0.040138,-0.032014,0.01
99589,0,0,0,-0.31511,0.040138,-0.032014,0
99574,0,0,0,-0.32662,0.042769,-0.032931,0.01
99574,0,0,0,-0.32662,0.042769,-0.032931,0
99561,0,0,0,-0.33694,0.045431,-0.03382,0.01
99561,0,0,0,-0.33694,0.045431,-0.03382,0
99549,0,0,0,-0.34607,0.048123,-0.034683,0.01
99549,0,0,0,-0.34607,0.048123,-0.034683,0
99538,0,0,0,-0.35425,0.050845,-0.035521,0.01
99538,0,0,0,-0.35425,0.050845,-0.035521,0
99529,0,0,0,-0.36161,0.053595,-0.036336,0.01
99529,0,0,0,-0.36161,0.053595,-0.036336,0
99520,0,0,0,-0.36817,0.056375,-0.037127,0.01
99520,0,0,0,-0.36817,0.056375,-0.037127,0
99513,0,0,0,-0.374,0.059182,-0.037898,0.01
99513,0,0,0,-0.374,0.059182,-0.037898,0
99506,0,0,0,-0.37926,0.062017,-0.038647,0.01
99506,0,0,0,-0.37926,0.062017,-0.038647,0
99500,0,0,0,-0.38394,0.064879,-0.039376,0.01
99500,0,0,0,-0.38394,0.064879,-0.039376,0
99494,0,0,0,-0.38809,0.067768,-0.040087,0.01
99494,0,0,0,-0.38809,0.067768,-0.040087,0
99489,0,0,0,-0.39181,0.070684,-0.040779,0.01
99489,0,0,0,-0.39181,0.070684,-0.040779,0
99485,0,0,0,-0.39511,0.073627,-0.041453,0.01
99485,0,0,0,-0.39511,0.073627,-0.041453,0
99481,0,0,0,-0.39803,0.076596,-0.042111,0.01
99481,0,0,0,-0.39803,0.076596,-0.042111,0
99478,0,0,0,-0.40059,0.079592,-0.042752,0.01
