# y+ ()       
# Time        	patch         	min           	max           	average       
500           	wall-l1	1.263497e+02	1.337666e+02	1.303328e+02
500           	airfoil-l2	1.154761e-01	1.381776e-01	1.283911e-01
500           	wall-l2	1.338688e+02	1.871624e+02	1.504254e+02
500           	wall-h2	1.555145e+02	2.094252e+02	1.734891e+02
500           	airfoil-h2	3.832920e-03	1.562793e-01	8.772104e-02
500           	wall-h1	1.468398e+02	1.553975e+02	1.515247e+02
500           	airfoil-h1	1.534068e-01	4.808156e-01	2.333503e-01
550           	airfoil-l1	2.437680e-02	4.703338e-01	1.252742e-01
550           	wall-l1	1.271916e+02	1.347681e+02	1.312261e+02
550           	airfoil-l2	1.137493e-01	1.378602e-01	1.279263e-01
550           	wall-l2	1.348733e+02	1.884783e+02	1.515497e+02
550           	wall-h2	1.567536e+02	2.109728e+02	1.748196e+02
550           	airfoil-h2	1.441083e-02	1.584494e-01	9.220891e-02
550           	wall-h1	1.479732e+02	1.566363e+02	1.527292e+02
550           	airfoil-h1	1.554850e-01	4.834131e-01	2.350276e-01
600           	airfoil-l1	2.119293e-02	4.726673e-01	1.251169e-01
600           	wall-l1	1.279963e+02	1.355989e+02	1.320497e+02
600           	airfoil-l2	1.122902e-01	1.375643e-01	1.275169e-01
600           	wall-l2	1.357043e+02	1.895912e+02	1.524691e+02
600           	wall-h2	1.579074e+02	2.124381e+02	1.760843e+02
600           	airfoil-h2	2.018358e-02	1.598005e-01	9.547817e-02
600           	wall-h1	1.489141e+02	1.577882e+02	1.537773e+02
600           	airfoil-h1	1.567770e-01	4.857313e-01	2.361697e-01
650           	airfoil-l1	1.793426e-02	4.746970e-01	1.249610e-01
650           	wall-l1	1.286724e+02	1.363941e+02	1.327902e+02
650           	airfoil-l2	1.111104e-01	1.372960e-01	1.271614e-01
650           	wall-l2	1.365002e+02	1.905797e+02	1.533176e+02
650           	wall-h2	1.588767e+02	2.137146e+02	1.771636e+02
650           	airfoil-h2	2.436393e-02	1.606511e-01	9.780088e-02
650           	wall-h1	1.497235e+02	1.587558e+02	1.546638e+02
650           	airfoil-h1	1.575897e-01	4.877497e-01	2.369883e-01
700           	airfoil-l1	1.460266e-02	4.764066e-01	1.248120e-01
700           	wall-l1	1.292175e+02	1.370549e+02	1.333901e+02
700           	airfoil-l2	1.101974e-01	1.370605e-01	1.268609e-01
700           	wall-l2	1.371621e+02	1.913955e+02	1.540287e+02
700           	wall-h2	1.596955e+02	2.147404e+02	1.780561e+02
700           	airfoil-h2	2.744184e-02	1.611998e-01	9.939809e-02
